month,n,sr_max,sr_max_code,rf,mean_mu,sd_mu,mean_idio_sd,sr_ew,sr_orth,prov
414,500,0.29137779616110904,0.2913777961611096,-0.009059498937756691,0.03629144944166467,0.003009154735288183,0.1861822339617067,0.22814643364509243,0.18124631006100578,bgn_gam_oracle_g0235s_s001@de109da+dirty
415,500,0.2929746440796284,0.2929746440796283,0.036588972225599314,0.036886990184149544,0.0030741514547287596,0.1885518330532601,0.22976274800875968,0.18177794613497025,bgn_gam_oracle_g0235s_s001@de109da+dirty
416,500,0.2962033979108401,0.2962033979108401,0.1060937401981159,0.03783767519221397,0.003183083159995759,0.1923174957802048,0.23220791171496943,0.1838911054697873,bgn_gam_oracle_g0235s_s001@de109da+dirty
417,500,0.29956881000299385,0.2995688100029933,0.17785625698072757,0.03886674405025149,0.0032706810122202414,0.1964422546349052,0.23458382518993304,0.18631130101491095,bgn_gam_oracle_g0235s_s001@de109da+dirty
418,500,0.302377579313087,0.30237757931308684,0.21833756323263148,0.039358944927861295,0.0033714807825856743,0.1985882926024084,0.2357994133592008,0.18929035139356415,bgn_gam_oracle_g0235s_s001@de109da+dirty
419,500,0.3036265606221693,0.3036265606221692,0.2455213988585847,0.03972370634377903,0.0034359126050929074,0.20036469151570585,0.23659061251253657,0.19029968572278472,bgn_gam_oracle_g0235s_s001@de109da+dirty
420,500,0.3020047297490396,0.3020047297490396,0.222555256522861,0.03930932749848603,0.0033800519677954005,0.19912987066431606,0.23574728095019318,0.18875930789071335,bgn_gam_oracle_g0235s_s001@de109da+dirty
421,500,0.30416101063348133,0.30416101063348094,0.2669570157496015,0.03991974087345004,0.003474583721232236,0.201921467222476,0.23704780629057154,0.19058399177897503,bgn_gam_oracle_g0235s_s001@de109da+dirty
422,500,0.2974901760919919,0.29749017609199124,0.12084976872559276,0.037567801218407894,0.0032616959883170994,0.19298443596439774,0.23214040060003485,0.18604096129750483,bgn_gam_oracle_g0235s_s001@de109da+dirty
423,500,0.30092749762160265,0.300927497621603,0.20026011517132739,0.03870122074923572,0.0034257229317540467,0.19759246460719374,0.23481683296538297,0.1881978049311604,bgn_gam_oracle_g0235s_s001@de109da+dirty
424,500,0.3046868628732867,0.30468686287328633,0.27043397260277807,0.03973562497381684,0.0035434559056060615,0.20200078732588214,0.2369957088984021,0.1914866010229146,bgn_gam_oracle_g0235s_s001@de109da+dirty
425,500,0.3165867541744666,0.3165867541744672,0.33894526793615476,0.04065802312848237,0.003957449113953194,0.20608468480063186,0.2388622289248349,0.20777874894171416,bgn_gam_oracle_g0235s_s001@de109da+dirty
426,500,0.3125612148087009,0.3125612148087012,0.270987668708436,0.03951478237865118,0.003859351043479103,0.20180068212145363,0.236757893417318,0.20405933673146337,bgn_gam_oracle_g0235s_s001@de109da+dirty
427,500,0.31357386300793494,0.3135738630079359,0.2775342696687356,0.03950020003513178,0.0039528354077577686,0.20202855365328212,0.2368491751539066,0.20550191189045716,bgn_gam_oracle_g0235s_s001@de109da+dirty
428,500,0.3165248325961796,0.31652483259618075,0.3266525776050606,0.040205913643630437,0.00408734868172121,0.20519449330771036,0.23824504432827265,0.20839210278477185,bgn_gam_oracle_g0235s_s001@de109da+dirty
429,500,0.3166572030793452,0.31665720307934503,0.3339668308990552,0.04027452036444673,0.004108999923683655,0.20588461980890735,0.23839611706514707,0.2084204299733938,bgn_gam_oracle_g0235s_s001@de109da+dirty
430,500,0.31388561407729676,0.31388561407729726,0.28652605990085783,0.03946870647899014,0.0040138369356218905,0.20285383706358368,0.23689020263056684,0.2059301110142241,bgn_gam_oracle_g0235s_s001@de109da+dirty
431,500,0.313943705740286,0.3139437057402859,0.2776728835440861,0.03925939210800605,0.004035243941603811,0.2022923795730722,0.23647934126420878,0.20649012453187482,bgn_gam_oracle_g0235s_s001@de109da+dirty
432,500,0.3124964070133482,0.3124964070133478,0.2510442778327658,0.03878976305221385,0.004007246191947106,0.200657959230507,0.23552038381318702,0.20538781172392204,bgn_gam_oracle_g0235s_s001@de109da+dirty
433,500,0.31552115970401867,0.31552115970401834,0.3055916897374038,0.03954911602150002,0.004118168962058741,0.20409086464551643,0.23718006213833198,0.208084647067067,bgn_gam_oracle_g0235s_s001@de109da+dirty
