month,method,P,kappa,mat,mn,stdev,sharpe,xret,hjd,prov
674,ff,6,0.0,0,0.018259083805985916,0.2206928486213888,0.08273527629030888,-0.15778757495699608,0.10398194150009268,bgn_gam_estimators_g0235_s003_w360_summary@dd0199e+dirty
674,fm,6,0.0,0,0.04530135107769443,0.4326844829745276,0.10469834916719523,-0.14402211182265623,0.19012675359901685,bgn_gam_estimators_g0235_s003_w360_summary@dd0199e+dirty
674,linrank,6,0.0,0,0.020492868575515244,0.34688483605003895,0.05907686484329081,-0.19292953332299714,0.17122469153089226,bgn_gam_estimators_g0235_s003_w360_summary@dd0199e+dirty
674,linrank,6,0.001,0,0.042412810743781525,0.2661853769032575,0.1593356150409271,-0.07171413069527721,0.07928926144276116,bgn_gam_estimators_g0235_s003_w360_summary@dd0199e+dirty
674,linrank,6,0.01,0,0.03326055436725927,0.20556324669930776,0.16180204828109127,-0.030945957605344184,0.06830278567386647,bgn_gam_estimators_g0235_s003_w360_summary@dd0199e+dirty
674,linrank,6,0.1,0,0.015012874863461157,0.08686690072882954,0.17282618278654274,-0.008699508952045278,0.06920687666498314,bgn_gam_estimators_g0235_s003_w360_summary@dd0199e+dirty
674,linrank,6,1.0,0,0.002998538628154833,0.016824458706525516,0.17822496880638564,-0.0013543200067217685,0.0857563579263696,bgn_gam_estimators_g0235_s003_w360_summary@dd0199e+dirty
674,rff,36,0.001,0,0.08734554936415274,0.4622221268190426,0.18896877560850314,-0.19331266641727698,0.1380488223245463,bgn_gam_estimators_g0235_s003_w360_summary@dd0199e+dirty
674,rff,36,0.01,0,0.085160431292945,0.38183525153841386,0.2230292539775563,-0.16146117460339987,0.07419097732752138,bgn_gam_estimators_g0235_s003_w360_summary@dd0199e+dirty
674,rff,36,0.1,0,0.04616313147714416,0.20729556754591988,0.22269232296497685,-0.09548542194634414,0.04423760561567997,bgn_gam_estimators_g0235_s003_w360_summary@dd0199e+dirty
674,rff,36,1.0,0,0.029368017991408056,0.13191651586428188,0.22262578570239386,-0.06347192946535259,0.050989793193706064,bgn_gam_estimators_g0235_s003_w360_summary@dd0199e+dirty
674,rff,360,0.001,0,0.09877298040694077,0.4578264457086289,0.2157432829247311,-0.251721699861668,0.11327657677279154,bgn_gam_estimators_g0235_s003_w360_summary@dd0199e+dirty
674,rff,360,0.01,0,0.08624581585259794,0.38475961853207413,0.22415506123444282,-0.1743576963382694,0.07444805463783868,bgn_gam_estimators_g0235_s003_w360_summary@dd0199e+dirty
674,rff,360,0.1,0,0.04422311136440296,0.19828495767639454,0.22302806971659475,-0.09463976494426977,0.04428776682867919,bgn_gam_estimators_g0235_s003_w360_summary@dd0199e+dirty
674,rff,360,1.0,0,0.028890493286837054,0.12981946601334984,0.22254361517606405,-0.062705970586786,0.05136814932268113,bgn_gam_estimators_g0235_s003_w360_summary@dd0199e+dirty
674,rff,3600,0.001,0,0.09182291415544343,0.41863877775197383,0.21933685801520447,-0.2367667196513101,0.09150542702878484,bgn_gam_estimators_g0235_s003_w360_summary@dd0199e+dirty
674,rff,3600,0.01,0,0.07828946319125818,0.34477516360122085,0.22707396430042898,-0.16762005482780673,0.059881608638514744,bgn_gam_estimators_g0235_s003_w360_summary@dd0199e+dirty
674,rff,3600,0.1,0,0.04072033524546578,0.18152944174557462,0.22431807674778176,-0.08977493720776875,0.04463179497003867,bgn_gam_estimators_g0235_s003_w360_summary@dd0199e+dirty
674,rff,3600,1.0,0,0.02835237751464809,0.1272621211764189,0.22278724613857573,-0.06183545624418853,0.05175613130576562,bgn_gam_estimators_g0235_s003_w360_summary@dd0199e+dirty
674,rff,36,0.001,1,0.09231113509863999,0.5354340249741996,0.172404312749994,-0.2833318764208976,0.20205005210399843,bgn_gam_estimators_g0235_s003_w360_summary@dd0199e+dirty
674,rff,36,0.01,1,0.08207940108295665,0.37607785961331636,0.21825108547296768,-0.17319255511653198,0.07547416394556399,bgn_gam_estimators_g0235_s003_w360_summary@dd0199e+dirty
674,rff,36,0.1,1,0.043662099704822696,0.19713948061791198,0.22147821211646015,-0.09067442673419088,0.04490753589729574,bgn_gam_estimators_g0235_s003_w360_summary@dd0199e+dirty
674,rff,36,1.0,1,0.02878729398626394,0.1294531542599841,0.2223761495100357,-0.062135230692958995,0.0514736210083901,bgn_gam_estimators_g0235_s003_w360_summary@dd0199e+dirty
