month,n,sr_max,sr_max_code,rf,mean_mu,sd_mu,mean_idio_sd
314,200,0.2557984934821021,0.25579849348210276,-0.0936839635126755,0.02522150376758562,0.001173315529145724,0.14601421444897494
315,200,0.26096154226572277,0.2609615422657222,0.09646811368093916,0.026784970887432237,0.0012751381400161843,0.15444060042434385
316,200,0.2616293805913734,0.2616293805913734,0.10303467104921822,0.02679184039615066,0.0012984635189470554,0.1547137014966789
317,200,0.2641250865402202,0.2641250865402205,0.20238137297781317,0.02762729549554902,0.0013791209755371473,0.15941621218736868
318,200,0.2629180845852317,0.26291808458523147,0.1724639644052612,0.027372945824315868,0.0013121121339194277,0.15831047016983632
319,200,0.26220082167869235,0.26220082167869196,0.14583486009236696,0.027095302362092278,0.0013299922097763197,0.15705884115492366
320,200,0.04909209136480368,0.0490920913648037,0.15236355560514858,0.0040242430134932484,0.00013149709869024958,0.12028077663989302
321,200,0.04903671087104539,0.04903671087104542,0.18404895308303162,0.004035498726889076,0.0001320606853688097,0.1210197904431525
322,200,0.04887260876389669,0.0488726087638967,0.27487956212918324,0.0040885011266669205,0.00013786175159451175,0.12401564979360141
323,200,0.04901307744767066,0.04901307744767058,0.24558245924605007,0.004066663319439571,0.0001368066271600055,0.12300469456447
324,200,0.04915525357690733,0.049155253576907296,0.181831475896965,0.004028140522479987,0.00013447936245304402,0.12120597786718151
325,200,0.049530696726021874,0.04953069672602188,0.057276529005597245,0.003959403954710532,0.0001269861247615681,0.11738139636345442
326,200,0.04969107020328145,0.049691070203281326,0.031486975656051776,0.003945781037502563,0.00012756470315074877,0.11653321996302679
327,200,0.04955955154223352,0.049559551542233495,0.10085528598794917,0.00397388249295507,0.00013138682912992777,0.1183763101953839
328,200,0.04959744201392947,0.04959744201392946,0.12181317156782273,0.003983979252224367,0.0001299649980638798,0.118990988971827
329,200,0.04960957687763012,0.04960957687763009,0.11972414643172971,0.003979074002970927,0.00012959073843856397,0.11888883549073466
330,200,0.050001824125447805,0.050001824125447736,0.03530234374149991,0.003931247059702719,0.0001283472948805853,0.1160206799006723
331,200,0.04986479865445059,0.04986479865445059,0.04194991243534246,0.003931721550596322,0.0001294431986193601,0.11610534315026104
332,200,0.04975627433013586,0.04975627433013589,0.07840436324243812,0.0039464465252424166,0.00013200540334208213,0.1171478410445042
333,200,0.049780652135172486,0.04978065213517248,0.08999981970932196,0.003950326578703183,0.00013139184828490336,0.11738781385656313
334,200,0.04976682263259995,0.04976682263259999,0.10011707794279844,0.003951147396361474,0.00013296195110043025,0.11761196112073641
335,200,0.0498283676086945,0.049828367608694524,0.05610819622288725,0.0039256236205845165,0.0001306022497638467,0.11607548153086605
336,200,0.049667975186028085,0.04966797518602798,0.15671842908991407,0.003971122007960765,0.0001387252717173696,0.1189124740706375
337,200,0.04966009270868863,0.049660092708688555,0.14289410508289163,0.0039593957144645996,0.00013811708778885937,0.1184113070359036
338,200,0.04950759254187611,0.04950759254187613,0.19004446904401975,0.003977939333193164,0.0001410738946971842,0.1196114451978918
339,200,0.04938275671987148,0.04938275671987151,0.26554057999735714,0.004017808623625472,0.00014620073275346357,0.1220325751522379
340,200,0.049303114044924864,0.04930311404492479,0.36322299813716974,0.004074286700240495,0.00015168752203324854,0.12523922988866243
341,200,0.04910787843963429,0.04910787843963429,0.5024815603977103,0.004165378123726589,0.00016049411009755706,0.13008301102685915
342,200,0.04924730736540277,0.04924730736540279,0.523446911921898,0.004176791920881186,0.00016417615803765537,0.13082356213551002
343,200,0.04907979277454838,0.04907979277454835,0.5661706420739755,0.004205157524800491,0.00016816078014380076,0.13253788329661412
344,200,0.049558380380022,0.04955838038002197,0.38768671335329413,0.00407886445734906,0.00015930108518272696,0.12640374958948097
345,200,0.04946887007567541,0.04946887007567543,0.43204713830041946,0.004102184859025465,0.0001624229090128066,0.1277798176411607
346,200,0.04911347458046514,0.04911347458046516,0.6396925580214106,0.004245106844885624,0.0001760089086951251,0.13518656672754972
347,200,0.04945019096055866,0.04945019096055861,0.5298055337285859,0.004164159993512213,0.00017222587405684413,0.13156095224738898
348,200,0.049788847033540244,0.049788847033540314,0.40669511485910886,0.004076881768790364,0.00016624957982426658,0.12749737471798717
349,200,0.05009968210456238,0.05009968210456238,0.3584683512605264,0.00404113630845839,0.00016603979378572548,0.1259943710347731
350,200,0.05025077951767913,0.050250779517679055,0.46431463967211123,0.004106032332185004,0.00017524326331610582,0.1293932713412048
351,200,0.05022825082549644,0.05022825082549646,0.4769579565332129,0.004109518167596335,0.00017824993270440536,0.12983310716065216
352,200,0.05042241157530698,0.05042241157530696,0.3910467460757916,0.004050521947458068,0.00017692942630594054,0.12715863961048013
353,200,0.05071517536884806,0.05071517536884804,0.3729338959653125,0.004033815324697289,0.00018190146260164334,0.12662416551592812
354,200,0.05059168187309637,0.05059168187309636,0.44464483540401284,0.004075765406401611,0.00018778830593871925,0.12929761306123433
355,200,0.050482065005606314,0.050482065005606286,0.5031745091580505,0.004111571995744357,0.00019263039893007073,0.13143166360323782
356,200,0.05020781612243262,0.0502078161224327,0.730323955015495,0.004271989098535861,0.00021000781723005886,0.13970465806989718
357,200,0.050188696496372746,0.05018869649637278,0.792511426202404,0.004315580712545552,0.00021622493851623293,0.14189039535032327
358,200,0.05030855840628648,0.05030855840628644,0.7929335268732531,0.004314445823859039,0.00021884598840303158,0.142046869877407
359,200,0.05022948504447767,0.050229485044477766,0.8238386999182197,0.004335114325662162,0.00022258751090920156,0.14338027364865216
360,200,0.05036318887004341,0.050363188870043415,0.761425668197566,0.004282238591628736,0.00021868888792616782,0.14088638528316605
361,200,0.05072135551417849,0.05072135551417853,0.6376481185428149,0.004186521297049335,0.00021502876584804107,0.13651404424514088
362,200,0.050848396085043344,0.05084839608504336,0.6078356020926784,0.004163178890902245,0.00021382729895064965,0.1354510676650231
363,200,0.05065454908704775,0.05065454908704777,0.6620491143888847,0.004198279020075826,0.00021787563368081255,0.1375974757639359
364,200,0.051095104809588274,0.05109510480958825,0.48570482163826806,0.004072199631563432,0.0002064433008537547,0.13128341749963168
365,200,0.05128024005768393,0.051280240057683904,0.41528030621938833,0.004022828735602888,0.00020089989661330253,0.12891946565395374
366,200,0.05142400867573176,0.05142400867573181,0.3465605183315058,0.003977319003596881,0.00019753427865063408,0.12685844082456738
367,200,0.051369739551908856,0.05136973955190883,0.3480951161202498,0.003977364359154258,0.0001986290527770146,0.12701404319489015
368,200,0.05148819076866197,0.051488190768661915,0.3555143720735639,0.0039772548920547655,0.00019982578989561722,0.12708537454827062
369,200,0.05152454576947343,0.0515245457694734,0.37319764760750634,0.003984044280521281,0.0002040585370985045,0.12771469361625576
370,200,0.051716113153918074,0.05171611315391809,0.36012861966274323,0.003972639612779713,0.0002036535381085056,0.12730635380431432
371,200,0.05146605898743283,0.051466058987432804,0.4486259721142837,0.00402255824693464,0.00020796104208271085,0.13060704676905635
372,200,0.05172250948020547,0.05172250948020554,0.2660744115058032,0.003917484494582779,0.0001971408663217657,0.12468159596468008
373,200,0.051479106435626976,0.051479106435626934,0.4038741312240383,0.003989629360897961,0.00020737266656643992,0.1292969725908965
374,200,0.05138098189728727,0.05138098189728731,0.5333562398131189,0.004066918075284413,0.00021856429146774464,0.1340603087735508
375,200,0.051511447029694235,0.05151144702969428,0.48086556123343677,0.004031800432761117,0.0002138257175991845,0.13229193267006356
376,200,0.051445904290833615,0.051445904290833656,0.5130235604134241,0.004046045845173349,0.00021360375762554174,0.13350132118742117
377,200,0.05169893406653166,0.051698934066531636,0.5114469914021094,0.004042823043133062,0.00021623882939777325,0.13319904206587982
378,200,0.05193116763994682,0.051931167639946936,0.4280808249513015,0.003988563072884525,0.00021031728874570236,0.13029817946553218
379,200,0.05188405778054802,0.051884057780548026,0.45560336107194743,0.004001862204546763,0.00021264158402825863,0.13128525606914182
380,200,0.05180533683791045,0.051805336837910394,0.49906814270869143,0.0040206720420818,0.0002145803424248191,0.13263549226289062
381,200,0.0517364121716846,0.051736412171684655,0.4914043133592133,0.004012094174806786,0.00021676361071709324,0.13252491746020895
382,200,0.051681024419376026,0.05168102441937601,0.5722049789127635,0.004058883776257139,0.00022454326709438798,0.13541214250624573
383,200,0.05167221703907256,0.05167221703907251,0.5817678992812815,0.004062047350835912,0.00022685521747374958,0.13588017762496815
384,200,0.051757610809190065,0.05175761080919006,0.5701783092296211,0.004054167116772188,0.00022875786422664362,0.13559801309509278
385,200,0.05233819097443074,0.05233819097443074,0.45606603466607876,0.003980215157508877,0.00022087650919740506,0.13175691949660767
386,200,0.05244521454086469,0.0524452145408647,0.40187644480093443,0.003943014893331823,0.00021885463484448155,0.13004617517033723
387,200,0.05275244155124886,0.052752441551248856,0.3397385353254156,0.0039046401652859473,0.00021400944992273864,0.12761135667109824
388,200,0.052491378857798074,0.05249137885779818,0.49682045423688037,0.003994962645917735,0.0002232943859161925,0.13360863225106295
389,200,0.052481476032047426,0.05248147603204745,0.5139266889130509,0.004002478608349419,0.00022672898646514304,0.13465798058652875
390,200,0.05257110452516155,0.05257110452516157,0.3999412237644745,0.0039320954529027475,0.0002179851833925031,0.1307595473409924
391,200,0.05252227891463612,0.05252227891463603,0.4462917147519813,0.003952887601164657,0.00022150322281177387,0.13243108267664522
392,200,0.05264452273003404,0.052644522730034025,0.3752638500234738,0.003913800662991646,0.00021872303300717773,0.13003119357631848
393,200,0.275661266876926,0.2756612668769263,0.06314255833974637,0.023059675202100272,0.002269081671478325,0.15111312514595754
394,200,0.2771663311364523,0.2771663311364523,0.10078629237207164,0.023318086753796225,0.002296124915301225,0.15330937830656566
395,200,0.27161035533200145,0.27161035533200156,-0.038866271396421494,0.022195706287444935,0.0021920661216530976,0.14684512075556433
396,200,0.27350737583530266,0.27350737583530177,0.00807766133172016,0.02252925562029662,0.0022445785117953137,0.14937309765848597
397,200,0.2716001616101323,0.27160016161013245,-0.05316501227458142,0.022054053788436632,0.0022056907910094495,0.14693345745764252
