model,tag,seed,N,T,months,spec_id,solves,sr_max,lin_ceiling_all,nonlin_ceiling_all,room_all,lin_ceiling_eval,nonlin_ceiling_eval,room_eval,eval_window,eval_months_oracle,prov_oracle,window,dkkm,lin,gap,t,dkkm_method,lin_method,prov_est
gs_bx,bx7,0,500,500,485,var-gs_bx-bx7-v3,"63fa7ebbc2db49ea,649bb384300faadf,a3bb50b66287307c,645262a8e72d944c,0818d7153d5708cc",0.27450860690468576,0.2664430503498849,0.27278902367466706,0.00634597332478215,0.31846285371774424,0.32788205463798,0.009419200920235737,360.0,125.0,gs_bx_oracle_bx7_s000@4e9a378,360.0,0.314039539009676,0.3036889521424954,0.0103505868671806,11.181356156936475,rff_ens,linlev,gs_bx_estimators_bx7_s000_w360_summary@4e9a378+dirty
gs_bx,g28,0,500,500,485,var-gs_bx-g28-v2,8b584c38614695ac,0.29604517844664036,0.29431142512708475,0.2946181594144143,0.00030673428732957975,0.3042594545283248,0.3045188521873299,0.0002593976590050673,360.0,125.0,gs_bx_oracle_g28_s000@4e9a378+dirty,360.0,0.2961015289663308,0.2841843858009277,0.011917143165403099,36.43316087387474,rff_lev_ens,ff,gs_bx_estimators_g28_s000_w360_summary@4e9a378+dirty
kp_vy,bigN,0,180,80,65,var-kp_vy-vyx-v2,"f7be27e39d2b530f,84e195172f091cd2",0.7921014916703744,0.5562915313494364,0.7537073081562413,0.1974157768068049,,,,,,,36.0,0.4837061734112903,0.4456203296353427,0.03808584377594759,5.002553018687133,rff_lev_ens,linrank,
kp_vy,scalT500n100,0,100,500,485,var-kp_vy-vyx-v2,"f7be27e39d2b530f,84e195172f091cd2",0.7082803787338864,0.5114963728158742,0.6428833491190136,0.13138697630313934,,,,,,,,,,,,,,
kp_vy,scalT500n200,0,200,500,485,var-kp_vy-vyx-v2,"f7be27e39d2b530f,84e195172f091cd2",0.8431386098987339,0.5531230557312424,0.7552320278111923,0.20210897207994982,,,,,,,,,,,,,,
kp_vy,scal,0,300,200,185,var-kp_vy-vyx-v2,"f7be27e39d2b530f,84e195172f091cd2",0.9244633756439625,0.5954842223810124,0.8302394431063597,0.23475522072534727,,,,,,,,,,,,,,
kp_vy,scaln500,0,500,200,185,var-kp_vy-vyx-v2,"f7be27e39d2b530f,84e195172f091cd2",1.1301247102422947,0.6340584799724434,0.9873969502074549,0.3533384702350115,,,,,,,,,,,,,,
kp_vy,smoke,0,60,80,65,var-kp_vy-vyx-v2,"f7be27e39d2b530f,84e195172f091cd2",0.5970893447429791,0.46919889821819516,0.5970437055086963,0.12784480729050118,,,,,,,20.0,0.3941030020086645,0.30800541068677,0.08609759132189448,13.268018845583756,rff_lev_ens,linlev,
kp_vy,smoke,0,60,80,65,var-kp_vy-vyx-v2,"f7be27e39d2b530f,84e195172f091cd2",0.5970893447429791,0.46919889821819516,0.5970437055086963,0.12784480729050118,,,,,,,36.0,0.4297533053934919,0.3721944059134863,0.05755889948000559,7.356679152356459,rff_lev_ens,linlev,
kp_vy,smoke,0,60,80,65,var-kp_vy-vyx-v2,"f7be27e39d2b530f,84e195172f091cd2",0.5970893447429791,0.46919889821819516,0.5970437055086963,0.12784480729050118,,,,,,,50.0,0.4171062728748002,0.3799414574168859,0.03716481545791428,3.00349893553291,rff_lev_ens,fm,
kp_vy,vyx,0,500,500,485,var-kp_vy-vyx-v2,"f7be27e39d2b530f,84e195172f091cd2",1.194458702985604,0.650820573042993,1.0254507271475823,0.37463015410458933,,,,,,kp_vy_oracle_vyx_s000@71a4b67+dirty,360.0,0.7855704421509131,0.6718108874845838,0.11375955466632925,32.580325075562946,rff_ens,linrank,kp_vy_estimators_vyx_s000_w360_summary@71a4b67+dirty
kp_vy,vyx,1,500,500,485,var-kp_vy-vyx-v2,"f7be27e39d2b530f,84e195172f091cd2",1.2296070266380439,0.6358094562971053,1.0228591498933115,0.3870496935962062,,,,,,kp_vy_oracle_vyx_s001@71a4b67+dirty,360.0,0.703454752434368,0.609074520786921,0.09438023164744691,22.346668653920993,rff_ens,fm,kp_vy_estimators_vyx_s001_w360_summary@71a4b67+dirty
kp_vy,vyx,2,500,500,485,var-kp_vy-vyx-v2,"f7be27e39d2b530f,84e195172f091cd2",1.2154491681516748,0.6286330249900944,1.0387757103214335,0.410142685331339,,,,,,kp_vy_oracle_vyx_s002@71a4b67+dirty,360.0,0.7604359284766408,0.6481477525932147,0.1122881758834261,19.176594521143457,rff_ens,fm,kp_vy_estimators_vyx_s002_w360_summary@71a4b67+dirty
kp_vy,vyx,3,500,500,485,var-kp_vy-vyx-v2,"f7be27e39d2b530f,84e195172f091cd2",1.1513942954708447,0.6426293406510595,0.9968185613814984,0.3541892207304389,,,,,,kp_vy_oracle_vyx_s003@71a4b67+dirty,360.0,0.7557222213277158,0.6327051567934489,0.12301706453426697,38.89787159682378,rff_ens,linlev,kp_vy_estimators_vyx_s003_w360_summary@71a4b67+dirty
kp_vy,vyx,4,500,500,485,var-kp_vy-vyx-v2,"f7be27e39d2b530f,84e195172f091cd2",1.1425439612558712,0.6395918072880493,0.9826565337771879,0.34306472648913855,,,,,,kp_vy_oracle_vyx_s004@71a4b67+dirty,360.0,0.7506999029153362,0.6572618716008433,0.09343803131449291,23.726023870717437,rff_ens,fm,kp_vy_estimators_vyx_s004_w360_summary@71a4b67+dirty
kp_vy,vyx,5,500,500,485,var-kp_vy-vyx-v2,"f7be27e39d2b530f,84e195172f091cd2",1.0244128392969116,0.599255388972138,0.8835448005255868,0.2842894115534488,,,,,,kp_vy_oracle_vyx_s005@71a4b67+dirty,360.0,0.653131868605131,0.5754027645886695,0.07772910401646149,26.897148556376496,rff_lev_ens,linlev,kp_vy_estimators_vyx_s005_w360_summary@71a4b67+dirty
kp_vy,vyx,6,500,500,485,var-kp_vy-vyx-v2,"f7be27e39d2b530f,84e195172f091cd2",1.1442978121751424,0.6609970985868813,0.9914843465641648,0.33048724797728357,,,,,,kp_vy_oracle_vyx_s006@71a4b67+dirty,360.0,0.8073267840737768,0.6784328128383197,0.1288939712354571,59.040796430886175,rff_ens,linlev,kp_vy_estimators_vyx_s006_w360_summary@71a4b67+dirty
kp_vy,vyx,7,500,500,485,var-kp_vy-vyx-v2,"f7be27e39d2b530f,84e195172f091cd2",1.1130774638662946,0.634944449086912,0.9637891901408662,0.3288447410539541,,,,,,kp_vy_oracle_vyx_s007@71a4b67+dirty,360.0,0.7160017570428291,0.6224218609607209,0.09357989608210815,26.24706123701772,rff_ens,linrank,kp_vy_estimators_vyx_s007_w360_summary@71a4b67+dirty
kp_vy,vyx,8,500,500,485,var-kp_vy-vyx-v2,"f7be27e39d2b530f,84e195172f091cd2",1.1867764020870233,0.6490331644861452,1.0096790638973394,0.3606458994111942,,,,,,kp_vy_oracle_vyx_s008@71a4b67+dirty,360.0,0.7927410790614904,0.6851467664530345,0.10759431260845587,31.97600811598617,rff_ens,linlev,kp_vy_estimators_vyx_s008_w360_summary@71a4b67+dirty
kp_vy,vyx,9,500,500,485,var-kp_vy-vyx-v2,"f7be27e39d2b530f,84e195172f091cd2",1.1286408993443386,0.6583118774123905,0.975708962693392,0.3173970852810015,,,,,,kp_vy_oracle_vyx_s009@71a4b67+dirty,360.0,0.7496758532035953,0.6480895121784446,0.10158634102515074,21.16520458646153,rff_ens,linlev,kp_vy_estimators_vyx_s009_w360_summary@71a4b67+dirty
