month,method,P,kappa,mat,mn,stdev,sharpe,xret,hjd,prov
774,ff,6,0.0,0,0.18375422200678188,0.37672512768112965,0.48776736273964827,-0.23063220260348952,0.05335800003008261,gs_bx_estimators_bx7_s009_w360_summary@c60eee5+dirty
774,fm,6,0.0,0,0.1842066619749347,0.37112970524987415,0.496340388196391,-0.188640977453694,0.04843503659690209,gs_bx_estimators_bx7_s009_w360_summary@c60eee5+dirty
774,linrank,6,0.0,0,0.1752188893346351,0.3621051807774086,0.4838894847029121,-0.17845893446102187,0.05656305056819789,gs_bx_estimators_bx7_s009_w360_summary@c60eee5+dirty
774,linrank,6,1e-05,0,0.17478993485070077,0.35671868627026015,0.48999377262304383,-0.16460932943108586,0.0533988808700562,gs_bx_estimators_bx7_s009_w360_summary@c60eee5+dirty
774,linrank,6,0.0001,0,0.17274679229113798,0.3419183899257317,0.5052281403426719,-0.09963512580622705,0.046435063145971525,gs_bx_estimators_bx7_s009_w360_summary@c60eee5+dirty
774,linrank,6,0.001,0,0.16995384846518288,0.3454423250417262,0.49198907066368913,-0.028839076866264912,0.05348602171995939,gs_bx_estimators_bx7_s009_w360_summary@c60eee5+dirty
774,linrank,6,0.01,0,0.16328375725083372,0.3367751706458753,0.4848449989281701,-0.003941322996620873,0.05869059455580544,gs_bx_estimators_bx7_s009_w360_summary@c60eee5+dirty
774,linrank,6,0.1,0,0.12352554728223268,0.2592774708089764,0.4764222163106511,0.025152121412548023,0.08061128124797454,gs_bx_estimators_bx7_s009_w360_summary@c60eee5+dirty
774,linrank,6,1.0,0,0.037798892919145205,0.08292325511120298,0.4558298256436698,0.018580237338286697,0.17788624481782547,gs_bx_estimators_bx7_s009_w360_summary@c60eee5+dirty
774,linrank,6,10.0,0,0.004770212150857444,0.010768366388464483,0.4429838267731577,0.0031022954153659436,0.23577729644889073,gs_bx_estimators_bx7_s009_w360_summary@c60eee5+dirty
774,mkt_est,1,0.0,0,0.1856160557929129,0.3756144664270426,0.49416641898420066,-0.07570765471198768,0.04948644408352912,gs_bx_estimators_bx7_s009_w360_summary@c60eee5+dirty
774,ew,1,0.0,0,0.024305764414396344,0.049185382657848,0.49416641898420055,-0.009913648967140129,0.19957745133413957,gs_bx_estimators_bx7_s009_w360_summary@c60eee5+dirty
774,linrank_m,6,0.0,0,0.1752188893346347,0.3621051807774074,0.48388948470291265,-0.1784589344610208,0.0565630505681977,gs_bx_estimators_bx7_s009_w360_summary@c60eee5+dirty
774,linrank_m,6,1e-05,0,0.17521841637668228,0.36210244058220353,0.4838918403724613,-0.1784280397541188,0.05656184627174124,gs_bx_estimators_bx7_s009_w360_summary@c60eee5+dirty
774,linrank_m,6,0.0001,0,0.17521451764619245,0.36207858786804425,0.4839129501633152,-0.1781580583175029,0.05655100380608526,gs_bx_estimators_bx7_s009_w360_summary@c60eee5+dirty
774,linrank_m,6,0.001,0,0.17520067815758475,0.3618953380212359,0.4841197433366882,-0.1760238148721138,0.056441165105177986,gs_bx_estimators_bx7_s009_w360_summary@c60eee5+dirty
774,linrank_m,6,0.01,0,0.17558944496633652,0.36126812539658254,0.48603636087070506,-0.16638560833882937,0.055346429790439175,gs_bx_estimators_bx7_s009_w360_summary@c60eee5+dirty
774,linrank_m,6,0.1,0,0.18021322492070174,0.36448645158380827,0.49443051761627516,-0.13463390325043914,0.050079738095037005,gs_bx_estimators_bx7_s009_w360_summary@c60eee5+dirty
774,linrank_m,6,1.0,0,0.18609425620592063,0.3738751165588852,0.4977444284570643,-0.09501323911938747,0.04740417067487885,gs_bx_estimators_bx7_s009_w360_summary@c60eee5+dirty
774,linrank_m,6,10.0,0,0.18582223255314126,0.37549543631665255,0.4948721464525037,-0.078532995357808,0.049061267811349674,gs_bx_estimators_bx7_s009_w360_summary@c60eee5+dirty
