method,P,kappa,sharpe,hjd,real_sr,t_vs_fm,prov
ff,6,0.0,0.4089163552688385,0.3075123690832631,0.3686000238394335,13.062232226741463,gs_bx_estimators_gx7_s008_w360_summary@c3d60c8+dirty
fm,6,0.0,0.36406617536558256,0.32408043693999916,0.35424435844437596,,gs_bx_estimators_gx7_s008_w360_summary@c3d60c8+dirty
linlev,11,0.0,0.4878056939819946,0.16620666643711512,0.424131351752378,13.940031986612897,gs_bx_estimators_gx7_s008_w360_summary@c3d60c8+dirty
linlev,11,0.001,0.4758697529511452,0.20150622538701893,0.44180223543255254,13.700187125444987,gs_bx_estimators_gx7_s008_w360_summary@c3d60c8+dirty
linlev,11,0.01,0.47233462155405426,0.19687713914598978,0.43594209547996654,13.518268697539707,gs_bx_estimators_gx7_s008_w360_summary@c3d60c8+dirty
linlev,11,0.03,0.467138817365867,0.2006617224180512,0.42979958868645274,13.219311522234785,gs_bx_estimators_gx7_s008_w360_summary@c3d60c8+dirty
linlev,11,0.1,0.45857017074847706,0.21915171076028728,0.42423579971379916,12.832863238627803,gs_bx_estimators_gx7_s008_w360_summary@c3d60c8+dirty
linlev,11,0.3,0.44451912355386725,0.25388538847901615,0.4194144228417937,12.227341715516994,gs_bx_estimators_gx7_s008_w360_summary@c3d60c8+dirty
linlev,11,1.0,0.4173399189207301,0.3069766191894666,0.40297132368981053,9.73896585660157,gs_bx_estimators_gx7_s008_w360_summary@c3d60c8+dirty
linlev,11,3.0,0.3923002182204636,0.36038069450860444,0.3824172635237169,5.7073199360641835,gs_bx_estimators_gx7_s008_w360_summary@c3d60c8+dirty
linlev,11,10.0,0.37563350839219684,0.4136261989549779,0.36768254514350274,2.368521753756454,gs_bx_estimators_gx7_s008_w360_summary@c3d60c8+dirty
linrank,6,0.0,0.37947248384438004,0.30999727489599743,0.371736381099948,7.403731233194715,gs_bx_estimators_gx7_s008_w360_summary@c3d60c8+dirty
linrank,6,0.001,0.29159444517581806,0.36944659304829747,0.4016218006754434,-35.40711265966968,gs_bx_estimators_gx7_s008_w360_summary@c3d60c8+dirty
linrank,6,0.01,0.28788300242721654,0.37109091140042527,0.4043563116236087,-37.11012801543792,gs_bx_estimators_gx7_s008_w360_summary@c3d60c8+dirty
