month,method,P,kappa,mat,mn,stdev,sharpe,xret,hjd
774,ff,6,0.0,0,0.15210776136502316,0.3925510173886967,0.38748533216615993,0.2658588210720982,0.3591571388719985
774,fm,6,0.0,0,0.20503236361922408,0.5059437786311082,0.4052473264400322,0.9233393894878783,0.37409223931002644
774,linrank,6,0.0,0,0.15618989156705398,0.3838491926333519,0.40690431180936387,0.24740620839065514,0.3454952910605614
774,linrank,6,0.001,0,0.07951560643354055,0.22778730956385485,0.3490782984609167,0.0737804970137117,0.38531816647941725
774,linrank,6,0.01,0,0.03977553854318096,0.17007038111666134,0.23387692955128125,0.010951127761921753,0.4370945401948697
774,linrank,6,0.03,0,0.024044019067350125,0.14159021489084175,0.16981412935835105,-0.01019811512997884,0.45867745495271084
774,linrank,6,0.1,0,0.016359910697938407,0.125267908128365,0.1305993765073016,-0.01912049917508516,0.46937946337068936
774,linrank,6,0.3,0,0.01332648847763994,0.09790556793031868,0.1361157364116887,-0.013588736129906877,0.46924970785328823
774,linrank,6,1.0,0,0.007759932678231606,0.052743545313229535,0.14712573135058482,-0.006039038901773636,0.4734618220525814
774,linrank,6,3.0,0,0.003414550444018316,0.02247897864118375,0.151899714774519,-0.0023391907768357915,0.47982745202911403
774,linrank,6,10.0,0,0.0011470917380288182,0.007458862317481845,0.15378910203775997,-0.0007454218530224876,0.48390235625213407
774,rff,36,0.001,0,0.20733196168608264,0.48925745388051595,0.42376863150809807,0.16128773660042728,0.35383506442374424
774,rff,36,0.01,0,0.14797110778866115,0.3991553909963384,0.3707105331066881,0.2500278189656245,0.37141784860598626
774,rff,36,0.03,0,0.12951982924682073,0.3672650045376436,0.35266041590288605,0.28077196434273394,0.3787589005141847
774,rff,36,0.1,0,0.11624182993113555,0.3379444485032848,0.3439672716801728,0.28712835472872517,0.3813745427193224
774,rff,36,0.3,0,0.10174087786069144,0.3106646446659487,0.3274942276424513,0.2764557198328481,0.38952156123356657
774,rff,36,1.0,0,0.0862908945492111,0.2955953435883518,0.2919223743570887,0.2602051021846411,0.4083805258164618
774,rff,36,3.0,0,0.07830770794011943,0.2935858916567783,0.26672844358497455,0.2512466077361073,0.421848946304167
774,rff,36,10.0,0,0.07480182695328078,0.29393152909184533,0.254487251450685,0.24725047502450487,0.42852699248492243
774,rff,360,0.001,0,0.2983097284780608,0.612205836257032,0.4872703114068595,0.1956872440748894,0.35330481237736966
774,rff,360,0.01,0,0.19052689495067837,0.439655509521117,0.4333549581994428,0.1985438210198155,0.3346832641321283
774,rff,360,0.03,0,0.14825024693065564,0.37507222788527766,0.3952578621096962,0.2137484175290125,0.35229640726617995
774,rff,360,0.1,0,0.12108553324921677,0.3334341929386663,0.3631467192433078,0.2373146061355615,0.36980859016613854
774,rff,360,0.3,0,0.10210927945207808,0.3064751624737196,0.3331730983610589,0.24734785748816396,0.3862743605410245
774,rff,360,1.0,0,0.08577635767787277,0.2945988420146746,0.2911632547204651,0.247789508291911,0.40873293517878917
