month,method,P,kappa,mat,mn,stdev,sharpe,xret,hjd,prov
674,ff,6,0.0,0,0.10760968327628524,0.37929411924855183,0.28371039205532345,-0.8603084371072897,0.019051965604783627,gs_bx_estimators_gx7_s000_w360_summary@c3d60c8+dirty
674,fm,6,0.0,0,0.11308226402087672,0.40950018766447144,0.2761470383342826,-1.1329150812092879,0.03314093341756811,gs_bx_estimators_gx7_s000_w360_summary@c3d60c8+dirty
674,linrank,6,0.0,0,0.10381824289606963,0.38571752620849725,0.2691561462518333,-0.9900415934737778,0.03074721111628774,gs_bx_estimators_gx7_s000_w360_summary@c3d60c8+dirty
674,linrank,6,0.001,0,0.07586744383505617,0.33248303792901024,0.2281844039552325,-0.9102098531278486,0.04339341120045369,gs_bx_estimators_gx7_s000_w360_summary@c3d60c8+dirty
674,linrank,6,0.01,0,0.07188366741500597,0.31919060842704927,0.22520608538341416,-0.86183007780357,0.04211003064504603,gs_bx_estimators_gx7_s000_w360_summary@c3d60c8+dirty
674,linrank,6,0.03,0,0.06701823938292358,0.2973204226164924,0.22540745365941126,-0.7906969157903826,0.03768185867498632,gs_bx_estimators_gx7_s000_w360_summary@c3d60c8+dirty
674,linrank,6,0.1,0,0.053729146521719916,0.24370093189655576,0.22047164983565365,-0.6295204479442262,0.033646131675759285,gs_bx_estimators_gx7_s000_w360_summary@c3d60c8+dirty
674,linrank,6,0.3,0,0.03461557509603423,0.16649295244365095,0.20791015227956733,-0.41025592366181796,0.03851445038656153,gs_bx_estimators_gx7_s000_w360_summary@c3d60c8+dirty
674,linrank,6,1.0,0,0.015856811839117493,0.08370701442021175,0.18943229487932536,-0.19123129978950382,0.0543721383926087,gs_bx_estimators_gx7_s000_w360_summary@c3d60c8+dirty
674,linrank,6,3.0,0,0.006322927190431175,0.035557395850235145,0.17782312341046655,-0.07699373111775364,0.06748591275304044,gs_bx_estimators_gx7_s000_w360_summary@c3d60c8+dirty
