month,n,sr_max,sr_max_code,rf,mean_mu,sd_mu,mean_idio_sd,sr_ew,sr_orth,prov
414,439,0.226754838674065,0.2271034330382692,-0.4386946955350381,0.003524348892457195,0.0010783588073039617,0.0655634846236953,0.06474190458064522,0.21731599723299683,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
415,439,0.22687652469243655,0.22719669425587205,-0.4844214383313525,0.003578022201240883,0.0010883316883842414,0.06570703161579224,0.06618913827923908,0.21700680964054916,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
416,438,0.226464722677595,0.22682019780572607,-0.40043203236724223,0.0035418293788929793,0.0010804984311120912,0.06567496066702161,0.0651930226066708,0.21687816953498595,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
417,438,0.22647715982906338,0.22683637126030626,-0.3717786306088806,0.003438904896263094,0.0010520750516962148,0.06561464212318603,0.0624046090937774,0.21770982680644427,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
418,438,0.22688467459000786,0.22725132418950117,-0.3284978450872661,0.003485702357388934,0.0010699722296944843,0.06573759668970695,0.06365357318773222,0.21777253771825264,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
419,437,0.22641900030614084,0.22681321208028057,-0.25152354966345414,0.003466255576955192,0.0010592112042609573,0.0655260947058608,0.06315568501636971,0.2174325715014779,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
420,438,0.22631045947136366,0.22677367663561884,-0.21987159111775328,0.003556220438772191,0.0010663750110529494,0.0657982942881185,0.06558562537760829,0.21659859143117197,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
421,439,0.22728572562690216,0.22771435050104594,-0.18030857192263244,0.0036425510877273553,0.0010875616406763222,0.06604643580759559,0.06793288826576348,0.2168961128411912,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
422,438,0.22638970549549592,0.22683757510657965,-0.19942058105091617,0.003609769253363735,0.0010717657635774763,0.06588288469087202,0.06705368020417095,0.21623159511369783,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
423,437,0.22675088073928806,0.22722202868034175,-0.23437499111725335,0.0035840367673758817,0.001062138296787898,0.0656995505803394,0.06634890671283188,0.21682662312099676,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
424,440,0.22664092193183633,0.2270936037519206,-0.10497826226412403,0.0036410850715408705,0.0010616613313227418,0.06563886962978026,0.06795115048194085,0.21621458933729093,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
425,440,0.22631579937968388,0.22682324762333594,-0.18206818475252015,0.0037293825185465545,0.0010710556688233322,0.06573980010405774,0.07046073797105738,0.21506772294660886,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
426,438,0.2264281258045425,0.22697855850262658,-0.22622653558544398,0.0036863732066342906,0.0010565039872735536,0.06561123500823983,0.06922809259140143,0.21558563809195194,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
427,439,0.2274512392297506,0.22789718700110115,-0.19387160188374913,0.003811642321271231,0.001093323593951723,0.06609043458942031,0.07277056707794334,0.215495964682181,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
428,438,0.22739686557256783,0.22775561428527524,-0.190836163084935,0.0038539771897980932,0.0011026649826993262,0.06623451736335652,0.07400738213736063,0.21501684087857667,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
429,438,0.22764525353893023,0.22795939363419984,-0.30172812936510457,0.00396478845808893,0.0011311902943963224,0.0665562214487678,0.07727507615594961,0.21412828879878532,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
430,439,0.2276063890464497,0.22798007635118345,-0.4356400501442542,0.0038038585691274793,0.0011148892550891616,0.0660488258512123,0.07255014925500766,0.21573396621264795,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
431,439,0.22736651555197762,0.22766305027308822,-0.45846608782496184,0.003674726745036637,0.001094666828641869,0.06568619250870306,0.06888403093103342,0.21668069290303674,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
432,439,0.2265382868902996,0.22688973738308427,-0.4826560746113739,0.003579426569661629,0.0010800821390301505,0.06550287337754852,0.06626091079704809,0.21663122380565852,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
433,442,0.2269745759199502,0.2272484194103318,-0.43773919636894143,0.0035029694539635402,0.0010628768236125062,0.06538954287692704,0.06417087826824791,0.21771439202846227,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
434,443,0.2267492553253484,0.2270430963254389,-0.40232429457117747,0.0034914203469017637,0.001066317470229685,0.06547632083455857,0.06386279170658096,0.21757014644946557,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
435,443,0.22674748217592558,0.22702068755266203,-0.42820439562289403,0.003458493961007221,0.0010624789044378126,0.0653583944349709,0.06297931023841967,0.21782568066005115,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
436,442,0.22663548049839058,0.22691651616246464,-0.3924674043947396,0.003438695777446802,0.0010478211817415376,0.06534999459292831,0.06244224611864227,0.21786373475270104,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
437,442,0.22692127305522902,0.2271965022812953,-0.3988404512747945,0.0033183696266972608,0.0010140010429593505,0.06527310486881814,0.059274574297636384,0.21904289307539698,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
438,442,0.22723169150651995,0.227550568512714,-0.4038422344389557,0.0033613213958955074,0.0010281298343762684,0.06548282209196273,0.06037164099717501,0.2190650738666994,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
439,442,0.22738417715599402,0.22765442764379343,-0.4165635935696771,0.0034798298395208043,0.0010615129174629135,0.06560740056481829,0.06350961321302621,0.21833481868552315,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
440,443,0.226565256407792,0.2268712241101851,-0.3593611661825445,0.0033827616563916257,0.001029940641175972,0.06558279454152832,0.06094458750017623,0.21821451066682504,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
441,442,0.2264758055955115,0.2268090117863947,-0.3858481254969146,0.003347817573137656,0.001016051194438781,0.06555225717853713,0.06003125154504749,0.21837476813512854,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
442,441,0.22750403237414063,0.22778374210256278,-0.3920366980277347,0.0034888478311111506,0.0010658996608519365,0.06589216844056331,0.0637283164377482,0.21839593959253056,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
443,442,0.22747018333462543,0.22778223784120927,-0.4237153660695374,0.003495011891890838,0.001066706404432349,0.06583013702831814,0.06389438724424977,0.21831214255045447,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
444,442,0.22668004038169687,0.22702074736222272,-0.4034202751786577,0.0034301982250967613,0.001042841836068424,0.06575910997146679,0.06217310252767246,0.21798703179210285,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
445,443,0.22653196922864707,0.22683790780914243,-0.3736942604900657,0.003400280195146934,0.0010265933074312835,0.06559629072673978,0.061395567065594576,0.21805347377949014,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
446,442,0.22659007754298038,0.22693181314820698,-0.38151230916507,0.0034068136900043803,0.0010324909914657767,0.06562085907650432,0.06156287345975077,0.21806667753765724,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
447,443,0.2276350163277949,0.22791547894028238,-0.3640751847880908,0.003439766754117135,0.0010515532891983389,0.06568443687475754,0.06241859969744685,0.2189100707376555,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
448,442,0.22733378299364793,0.22765503412037819,-0.23085321856560231,0.003384710157952827,0.001027039463983682,0.06540915185380802,0.06098534500767031,0.21900099676599288,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
449,442,0.22710413862152395,0.22746809483723923,-0.21907751402989986,0.003380912813425494,0.0010223282589778679,0.06539293093501083,0.0608953959748275,0.21878766082229897,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
450,442,0.22713909105547098,0.22747348441232637,-0.2546774349481604,0.0033206362960084145,0.0010101640706246054,0.06532844634657933,0.05932695058147187,0.21925437195232647,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
451,441,0.22728408374134898,0.22764261515721504,-0.23781294824877094,0.0033882956032238853,0.0010295944425842217,0.06541259898846766,0.061083676520170986,0.21892199337874585,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
452,441,0.22692974600823154,0.22733174577821785,-0.21745560781100817,0.003420207507605593,0.00102501340560243,0.0653168310447368,0.06194344469723224,0.2183119769559183,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
453,441,0.2270973601118873,0.22744322573757575,-0.20922758702338046,0.0034190417741043395,0.0010336954826562544,0.06534498433412637,0.0619061662117869,0.21849676783592667,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
454,441,0.22716404263160575,0.2274973848873692,-0.11683628869928339,0.0034145993209241496,0.0010398563824897762,0.0653819581922559,0.06178607101668636,0.21860005419270825,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
455,440,0.22736245919640757,0.2276838885442645,-0.09113153503799414,0.003482562066428488,0.0010662809743475536,0.06545216762604038,0.06358967088521703,0.21828889483560057,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
456,440,0.2271376788026546,0.22750122821511146,-0.08513597530855535,0.003438446318313735,0.0010448442004050947,0.06536747240009495,0.06241594157284215,0.21839362483697514,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
457,439,0.2269845486298461,0.2273395207721729,-0.12435881985603117,0.0034373939259630245,0.001043955312285846,0.06538654822261988,0.062403243001749965,0.21823799068805486,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
458,440,0.2275063093591919,0.22783212192029162,-0.07427465917279027,0.0034642367479390548,0.0010609156722285078,0.06560404097046513,0.0630899864857737,0.21858356389139877,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
459,441,0.22641101428382535,0.22681057440939537,-0.1727959574329088,0.00331519003312169,0.0010029714700836231,0.06542177571455385,0.05919131077534306,0.2185368072378823,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
460,440,0.2259892738097676,0.22642669754783604,-0.10082807383737653,0.003240076726700155,0.0009719479407817347,0.06532947580930729,0.05726520742907371,0.21861346686599908,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
461,441,0.2263703400587713,0.22680503989419332,-0.16016361284548064,0.0032932895681422308,0.000987438429394705,0.06540585206015265,0.0586192444077411,0.2186488395656132,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
462,439,0.22630959284105542,0.22669930858960763,-0.09184603531073668,0.003257954597858504,0.000981629198387578,0.06539351624608432,0.05771247191778424,0.21882710617522513,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
463,439,0.22670508339934725,0.22705941949611216,-0.09586987980830676,0.0032617202266210293,0.0009872896913819796,0.06537597205469006,0.05779995159240303,0.21921304804919997,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
464,438,0.2259804376126397,0.22637144775938564,-0.12595495167848808,0.0031732715279757153,0.0009551552186339558,0.06519780430958558,0.05559342472297234,0.21903545217879994,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
465,439,0.225990049664958,0.22635859781573667,-0.053948468033012786,0.00319238249020853,0.0009617023604807947,0.06523040178309805,0.05606844016603346,0.21892426216597857,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
466,439,0.22526489082104165,0.2257927703936203,-0.05219320952641718,0.0031537540340792897,0.0009418641910361476,0.065178647664819,0.0551177442790126,0.21841773119920732,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
467,440,0.22511259260253613,0.2255992734510344,-0.11618602036732886,0.003189425666338545,0.0009591571709493115,0.06540790313905781,0.05600464955985046,0.21803476460398177,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
468,438,0.2256100628043027,0.2261072375029446,-0.16982617436532926,0.0032423154220561677,0.0009735507114761728,0.06555968491607857,0.05731228316050697,0.2182090800986322,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
469,438,0.2257277608601678,0.22623841399452813,-0.08463576868746692,0.003306460185825452,0.0010002116671427468,0.0656343150891931,0.05893766088650419,0.21789762309895105,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
470,440,0.22593786670571658,0.22639083198320104,-0.008449426178031932,0.0033290078399743966,0.0010081287768803997,0.06575066076794277,0.05951603283485721,0.217958164442469,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
471,438,0.22541767230943324,0.22589987544519838,-0.02557555094314884,0.0032444369434114642,0.0009883785847575365,0.06555928251660319,0.057363277547003266,0.21799674625660928,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
472,439,0.22502970999852118,0.2255297727896835,0.08580002853719064,0.0032216427206553013,0.0009746786829076602,0.06546252336815504,0.05680998580600846,0.21774066201502112,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
473,441,0.2249546575941721,0.22539602055217065,0.06933638409339989,0.0032170858269363785,0.0009638033187381674,0.06545313980839204,0.0566965587576307,0.21769266914242597,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
474,440,0.22501672274733947,0.22546375515685949,0.09078594661742224,0.003235042737456434,0.0009751852528361577,0.06552074543612339,0.05714533365825241,0.21763946415354005,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
475,440,0.22504066959461005,0.225492132027451,0.10708537439786144,0.003248872072964416,0.000981083077265532,0.06564199062668716,0.057487588578717136,0.21757407963954392,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
476,441,0.22561482167749,0.22602883131083784,0.07851129165590681,0.0032806572042133305,0.000991035626351154,0.06560721940858753,0.05830071450429185,0.21795200033230863,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
477,442,0.2257343645355355,0.22616007811871147,0.19992254284538755,0.003199526256365698,0.0009620187162488084,0.06553826725330786,0.05623866647118901,0.2186165952662432,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
478,443,0.22643256229125827,0.22680515857846775,0.3445492869427885,0.003279329728446207,0.0009944671827782589,0.06557784569889817,0.058271430263844945,0.21880618291261883,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
479,441,0.22703766861342634,0.22741370741241965,0.3728793427892974,0.003329928976176678,0.001009468851261258,0.06558312365901936,0.05956338377646053,0.21908515760433903,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
480,441,0.22687714177466453,0.22726782923328948,0.2979103397676932,0.0033263038887256027,0.0010131027449062839,0.0656446181480468,0.05946736763509992,0.21894490093718352,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
481,442,0.22687350875882437,0.2272695455761371,0.44547074030776346,0.0033242528011879573,0.0010186733730141331,0.0654989888028525,0.059419555168831455,0.2189541172028481,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
482,441,0.22682705693954397,0.22726265239575566,0.35447852594314944,0.0033411475526874987,0.0010129660156759576,0.06562135692194943,0.05985485159555349,0.21878736366693893,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
483,443,0.2264759605462355,0.22694372078740846,0.34653720774029273,0.0033204074230909265,0.0010021729140921006,0.06558514578470082,0.0593185831590099,0.21856959165754886,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
484,444,0.22618626102760356,0.22667312891659966,0.31679063653978273,0.0032418543512603855,0.000985353363102486,0.065563446169735,0.05730933947859219,0.21880553988913234,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
485,443,0.22611843809335624,0.22657273954555657,0.3581147520021978,0.003277572219902823,0.0010047338503016252,0.06572883684568347,0.05821628900684799,0.21849579341499947,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
486,442,0.22508522669243802,0.2256836161461206,0.3647782549086169,0.003225883592113975,0.0009734802888192985,0.06562032586243911,0.05691637544916508,0.21777025848567083,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
487,441,0.2248701445223238,0.22553483141117353,0.3861358660797915,0.0032862558550618673,0.0009856517695453217,0.06557169383638718,0.05847118557045273,0.2171352167555426,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
488,440,0.2251560258903619,0.2257979474343928,0.4327035936293117,0.0032890917961467146,0.0009899968153662413,0.06556534133071519,0.058532690650989774,0.21741471918868982,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
489,441,0.22587829940676293,0.22640824649618144,0.3700150112207237,0.0033764321072780896,0.0010297541474478694,0.06563386953560005,0.06079505496762022,0.21754302432938472,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
490,439,0.22627209825700653,0.2268076259115318,0.3396775579422431,0.0033838599031601646,0.0010349182292298772,0.0656524389781304,0.060972550109221195,0.21790229595579513,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
491,441,0.22727178344312196,0.22774310952321408,0.4342188783113727,0.003412879368430598,0.0010428434355171784,0.06570992697041417,0.06173285972962954,0.218727038975567,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
492,439,0.2274205887149506,0.22786552808683164,0.4379457814658567,0.003465801007006403,0.0010628111212918256,0.06582334026911821,0.06313078754436119,0.21848255727971386,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
493,438,0.22730409614025482,0.22776232567756563,0.38128882838443606,0.003500982712158136,0.0010797687453439379,0.06579676860693526,0.0640974834932241,0.21807949177300937,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
494,441,0.22760504862508352,0.22802623888746865,0.45776357278497254,0.0035484895497799943,0.001089629289922575,0.0659974268713223,0.06539795553031996,0.21800726036552295,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
495,441,0.2281849334172917,0.22856237134466897,0.38746854778078194,0.0035836512042938516,0.00111368155609735,0.06604862662858953,0.06635508574444605,0.21832399417952453,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
496,440,0.22802821084640879,0.228436029540911,0.24803588018885103,0.0036345814643057666,0.0011252766246839722,0.06608915103934203,0.06777008047516354,0.2177247830041498,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
497,440,0.22824054542210395,0.22859005112398656,0.182579838539162,0.003732172353706732,0.0011445737924761787,0.06635810155084593,0.07050673295747092,0.2170772838927265,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
498,440,0.22855943310584098,0.22893234790499895,0.1798238349534405,0.0037144879591955024,0.0011372951953602926,0.06637557273739503,0.06998923033071394,0.217579691376235,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
499,441,0.22899265688694018,0.22933421717072855,0.14292538860128418,0.00371689924495035,0.0011329930263869904,0.06632975368599675,0.07005320054257319,0.2180141876160401,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
500,440,0.22886822587423386,0.22917748095840854,0.08617781796085974,0.0037178221753125505,0.001141035220640128,0.0664030468805826,0.07007001188341261,0.21787808115888516,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
501,442,0.2291311593051335,0.2293761179695267,0.03354441318931529,0.0037627891233751945,0.0011562266269578962,0.06664670694482808,0.0713200527588386,0.2177487961826447,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
502,442,0.22897107706153286,0.22928571592689323,-0.00803691138904454,0.0036786492388994367,0.0011318528267706192,0.06649245773471513,0.06893033637982345,0.21834917645203702,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
503,441,0.22920428334901713,0.22948832960113885,0.10663808445022771,0.0037179888901647004,0.001137040037221302,0.06631958429664878,0.07006460455295425,0.21823279930930334,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
504,439,0.2293945625869318,0.2296931561442195,0.10044769452883959,0.003842030566018056,0.0011635151636968336,0.06670118610662588,0.07360785737724118,0.21726423699445221,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
505,440,0.22909161508789044,0.22941256518106506,0.26320690956785225,0.0038021353290864715,0.0011454634461961187,0.06656956316304101,0.07246432460964966,0.21732898969637132,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
506,441,0.22939993007478493,0.2297218951139543,0.34731536151369474,0.0037067887745557446,0.0011336697881749434,0.06635523395798941,0.06971707608285478,0.21854943884799533,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
507,440,0.22865020297909583,0.22900845405117437,0.4373675434878077,0.0036285267895765764,0.0011034399859383786,0.06612561020150305,0.06754640596464803,0.21844541277774793,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
508,442,0.22795782243869459,0.2283431883014877,0.4153435501883713,0.003550246102329343,0.0010704174899647942,0.06589417493530098,0.06540970660899428,0.21837201993917787,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
509,445,0.22824257180266033,0.22857088371451573,0.4243662673826279,0.0035598239646728773,0.0010757028763977183,0.06611895435647143,0.06566066074757282,0.2185940283111245,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
510,445,0.2277924787478666,0.22812352169004282,0.4097459735649406,0.0035879679595910373,0.0010740736962961974,0.06610797848765756,0.06643727716048375,0.2178887366928321,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
511,445,0.22749449664026894,0.22780978236538654,0.3877495565796556,0.003550001533839594,0.0010729584611497637,0.06599945045217533,0.06540468095386216,0.21788982011772104,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
512,444,0.22720147909910612,0.2275376119315742,0.36537398276138905,0.003467455106492853,0.0010466843651754253,0.06572434962428192,0.06318633740165808,0.21823839916610774,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
513,444,0.22714272054466525,0.22749540795574882,0.41371890173455106,0.003393164799754508,0.0010263262581210574,0.0655412516906366,0.061209017523655575,0.21874019216920496,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
514,445,0.22713191278470465,0.227489835850937,0.38083882995329615,0.003383543705450358,0.0010284097783080039,0.06554727148229852,0.06095736724522145,0.2187992348793064,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
515,447,0.22739951375645653,0.22771095198229843,0.42775491223536727,0.003399346425043928,0.001029968138079654,0.06553080090836949,0.06137532473100671,0.21896028948381563,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
516,447,0.22682637366288425,0.22722436201268242,0.45968287486135806,0.0033380951549222744,0.0010069772795088844,0.0654640586927231,0.05978394080591741,0.2188060424457445,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
517,445,0.22761286470923062,0.22793493834829076,0.4465844569561709,0.0034250710289738967,0.0010412663172532416,0.06561708339306507,0.062042426345403016,0.2189939577118916,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
518,446,0.2275019899023605,0.22779450110010044,0.38700315577981564,0.0034295238906979332,0.001037016161739596,0.0655219618125782,0.06217676572274518,0.21884059315810814,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
519,445,0.2277311990257718,0.22801186295199496,0.3926572006666194,0.0034683053932923827,0.0010495920322143415,0.0655347109672651,0.0632110659661145,0.21878267790010983,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
520,444,0.22794227383373444,0.228187353223892,0.4447361684583513,0.0035692303342117863,0.0010780726558059623,0.06565293410584981,0.06594774743956854,0.21819389269211925,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
521,444,0.22724671614177494,0.22751345241705995,0.4947830809316655,0.0035380450683818684,0.0010631119727880628,0.06555198697014375,0.0651144586200091,0.21771811425750398,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
522,444,0.22723197987101865,0.22747264797016203,0.5200732795199909,0.0035694109965098996,0.0010708933509364434,0.06578755096009714,0.06594560227729179,0.2174524090838919,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
523,442,0.22707012001414417,0.2273514832202264,0.5577962136020557,0.003600334317141762,0.0010748243842625168,0.06596196261582334,0.06677406423678442,0.21703009871568418,kp_vy_oracle_kpbase_s001@c3aaea0+dirty
