month,method,P,kappa,mat,mn,stdev,sharpe,xret,hjd,prov
774,ff,6,0.0,0,0.038877334019191724,0.18496222471689466,0.21019067043931713,0.27133599380303314,0.007577208133255161,kp_vy_estimators_kpbase_s006_w360_summary@c3aaea0+dirty
774,fm,6,0.0,0,0.03889564464591564,0.2041744193744413,0.19050204606965873,0.4098529766119522,0.01501817990645608,kp_vy_estimators_kpbase_s006_w360_summary@c3aaea0+dirty
774,linrank,6,0.0,0,0.036182158087859115,0.17641373642080097,0.2050983036919163,0.29314432135565127,0.009676043285100251,kp_vy_estimators_kpbase_s006_w360_summary@c3aaea0+dirty
774,linrank,6,1e-07,0,0.03617284960521253,0.1763804922406986,0.20508418559037161,0.2930980965296863,0.009682258380183204,kp_vy_estimators_kpbase_s006_w360_summary@c3aaea0+dirty
774,linrank,6,1e-06,0,0.036089424970464544,0.17608310439064528,0.20495677365160003,0.2926838466540616,0.009738260804592402,kp_vy_estimators_kpbase_s006_w360_summary@c3aaea0+dirty
774,linrank,6,1e-05,0,0.03528858787043828,0.1732798910520238,0.20365079673234324,0.28870981821639613,0.01030343383499014,kp_vy_estimators_kpbase_s006_w360_summary@c3aaea0+dirty
774,linrank,6,0.0001,0,0.02963063003683701,0.15648182084769827,0.18935509490061544,0.2608203344316878,0.015712678917492846,kp_vy_estimators_kpbase_s006_w360_summary@c3aaea0+dirty
774,linrank,6,0.001,0,0.01827049468073697,0.14220118264712214,0.12848342285644646,0.20954550096903432,0.03362340245962089,kp_vy_estimators_kpbase_s006_w360_summary@c3aaea0+dirty
774,linrank,6,0.01,0,0.013992887042361861,0.13436635565447747,0.10413981218888241,0.2198118601996096,0.03987374883389791,kp_vy_estimators_kpbase_s006_w360_summary@c3aaea0+dirty
774,linrank,6,0.1,0,0.010865869403316086,0.10720303739837381,0.10135785017860803,0.21044342699498908,0.039488224037670674,kp_vy_estimators_kpbase_s006_w360_summary@c3aaea0+dirty
774,linrank,6,1.0,0,0.003974467620111145,0.03941117091211067,0.10084622019920322,0.0801969081307515,0.0432295060442804,kp_vy_estimators_kpbase_s006_w360_summary@c3aaea0+dirty
774,linrank,6,10.0,0,0.0005443190409504669,0.005400525150662064,0.1007900205563782,0.011033256931152756,0.04855022837219612,kp_vy_estimators_kpbase_s006_w360_summary@c3aaea0+dirty
774,linrank,6,100.0,0,5.6524405706132416e-05,0.0005608450576023394,0.1007843520058447,0.0011462662998484516,0.0494966734297506,kp_vy_estimators_kpbase_s006_w360_summary@c3aaea0+dirty
