month,n,sr_max,sr_max_code,rf,mean_mu,sd_mu,mean_idio_sd
414,92,0.6600170166849489,0.7329930522053165,0.39171693908826355,0.013796272997226194,0.006684474575315665,0.10029121144497587
415,92,0.666484028712741,0.7365190726859333,0.3685909023668659,0.013716274515449142,0.0066731301604392584,0.10038184683902567
416,92,0.6590003800581441,0.7324393503707902,0.3616772591136261,0.013733828577036212,0.006757498612477164,0.10026460758356456
417,92,0.6569827119793464,0.7267635097030397,0.3311209113507262,0.013776873242509886,0.00679136152450066,0.10072318540494353
418,90,0.6564212219010571,0.7296263565383273,0.28648572338307343,0.013955842889696483,0.006759034109343424,0.09990324193686805
419,90,0.6509214585072901,0.7250685921990031,0.28982213991700045,0.014058727129996593,0.006750424783856467,0.09951359162619361
420,90,0.6509851311968035,0.723546740747386,0.20260519289023204,0.014082420319554015,0.006718335652193823,0.10133310747545404
421,90,0.6493420449750092,0.7325972146725954,0.2568200852647198,0.014096793345815725,0.0067899668955747495,0.1015151365529696
422,90,0.6506612827976807,0.7287301327365883,0.2898986549438376,0.013964055190787923,0.006725665461735922,0.10064239254619975
423,90,0.6493652320733974,0.7238859038171884,0.32884868913558274,0.014035443292050262,0.006724066145629,0.10021873519638182
424,90,0.6615179730647776,0.733383897918106,0.3182956062471224,0.013952319956090068,0.006673528361359251,0.09826165485227321
425,90,0.6667028930411495,0.7345700062171041,0.28319300264595637,0.013932258863110381,0.006645469159750924,0.09875007362059163
426,90,0.6625667042317541,0.7257478025336661,0.2965638917883887,0.013994750165662187,0.0066420375189425555,0.10012529491941981
427,90,0.6837521967531188,0.7438063558937551,0.21212471216423262,0.013942940767874905,0.006644874543360914,0.09960665416072954
428,90,0.6997017087618539,0.7586099768908344,0.21927620466487063,0.013852280060755316,0.006618083655313003,0.09805501910446927
429,90,0.6991727388033002,0.7548235393325389,0.15293584473400054,0.01386244010142354,0.006589209753690306,0.09835838040983035
430,90,0.7087963938849141,0.7625288646023252,0.2182635624603054,0.013753649502673198,0.0065766670740393315,0.09760225147504428
431,90,0.7141773098348444,0.7679157424910453,0.21869279953304066,0.013707725206041873,0.006573913003246173,0.09731042810595059
432,90,0.7227360859261142,0.7778141199319876,0.19484478546998654,0.013655328225573174,0.006584242667664418,0.09728088876255404
433,90,0.7272167401479264,0.7870686076353369,0.1930818466009962,0.013629039993904475,0.0065438214828581615,0.09728774958765923
434,90,0.7468648463268488,0.7965565297067874,0.09996327133212185,0.013490022496761976,0.006557996678922439,0.09554932263135743
435,89,0.726985538004017,0.7876356799824539,0.17052806350308797,0.013622683461304514,0.006615231926844393,0.09758307391454901
436,89,0.7168508950279052,0.7746733332086029,0.20683315525261553,0.013607952108820553,0.00658405103096079,0.0978727526219339
437,89,0.7193323649428846,0.7762976646130246,0.1844442857386393,0.01358227768197265,0.006584815728625183,0.09790570379103773
438,89,0.7087336224837518,0.7623210706564402,0.07481864110634066,0.013708953254635338,0.006560087542168962,0.09840010242660759
439,89,0.7074878829283462,0.7646946583534839,0.1666789568683748,0.013724344311022863,0.006606951541089083,0.0983644936809798
440,89,0.6989060077334768,0.7569909814678509,0.13313684858017436,0.013752595044541483,0.006564274493436773,0.09861667098715264
441,88,0.7062593156413501,0.7711472490121142,0.18329573790718812,0.01392009190361232,0.006537908247726244,0.09853097994662093
442,88,0.7067101815394163,0.767794677452863,0.0944217148182152,0.013908354490566315,0.006527360464617997,0.09933225198031245
443,88,0.7074690426850188,0.7700720495417288,0.10112621260880017,0.01396183124069777,0.006535241809838022,0.10029085763479252
444,89,0.6941676116058297,0.7565386363225463,0.13344671182344992,0.013938050335467658,0.006536547343550201,0.10186965109324629
445,89,0.6941277079012338,0.7546947659099121,0.0441702854546108,0.014020552254302767,0.006524110760529169,0.10216533181400246
446,88,0.675903302208778,0.753893547763117,0.043767668333003835,0.013895750488006082,0.006524746025394079,0.10210487430580306
447,88,0.6742921659593267,0.752205457860249,0.059125006303119565,0.013959786364007657,0.006550922542735709,0.10294928024199555
448,87,0.6708981881322635,0.7497041139965198,0.11127769155105027,0.014017871155627875,0.006519168410142883,0.10343204533533999
449,87,0.6813214015661421,0.7616112625451397,0.14422410042939895,0.013956300965766676,0.006516968757836691,0.10224780440792658
450,87,0.6899176725579681,0.7690926514523998,0.12502198651773266,0.013846883262992245,0.006510302813176638,0.1013639436986751
451,87,0.6844982581470436,0.7640579773521486,0.13086305605831774,0.01378357079108369,0.006506237840500118,0.10152253963706029
452,87,0.672388054484848,0.7565111897271138,0.10519223099873529,0.013820298183023728,0.006537303668223503,0.10267583949055509
453,87,0.6756078568535409,0.7458517383039245,0.06903357699319837,0.013789793348462287,0.006514342712246847,0.10252544629694513
454,87,0.6738187147624521,0.7426806925232694,0.019626427741626207,0.013785785194786243,0.006553585591165982,0.10150924566960978
455,87,0.685067991903903,0.7488356140824505,-0.10630028141593234,0.013682920390803424,0.006487370302633527,0.10040872369438018
456,86,0.6885389673328535,0.7453319207518998,-0.10991518045688829,0.013584812103782585,0.006531251959851155,0.09958944104420563
457,86,0.6980020290432338,0.767131085998554,-0.009995643089973652,0.013554074052485817,0.0066067541386133945,0.09810720376726627
458,85,0.7068413445209689,0.7668063195156721,-0.08628701772962685,0.013627735329853844,0.006516618481779824,0.09808304640847663
459,85,0.7079605042293987,0.7636539644988497,-0.07390735095408837,0.013608336514389313,0.006471334978336414,0.09748760169025306
460,84,0.6916767318307164,0.7448125699102729,-0.11650584908378328,0.013749339424546139,0.006380959923349085,0.09882414430434454
461,84,0.704736364141907,0.7595949104818244,-0.12198488246429634,0.013735405930717079,0.006336680454745922,0.09790179621066071
