month,n,sr_max,sr_max_code,rf,mean_mu,sd_mu,mean_idio_sd,prov
314,300,0.050845017128061824,0.05084501712806171,0.17937893894036147,0.003955585729309937,0.00011052753280029942,0.11031925388084948,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
315,300,0.05079095559857389,0.050790955598573745,0.23852010392407905,0.003983019006563516,0.00011364519057160995,0.11180393233008035,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
316,300,0.05049922311091677,0.05049922311091687,0.4134458078802463,0.004083873897681433,0.0001199008534881944,0.11674544068978558,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
317,300,0.05066194921041217,0.05066194921041214,0.34066587868649284,0.0040351018657196255,0.00011736993714246299,0.11447315763535192,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
318,300,0.050430584822307056,0.0504305848223071,0.5118707724350818,0.004139893377441147,0.0001255298406012258,0.1196019388975975,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
319,300,0.0506697152833337,0.05066971528333367,0.4159497921994816,0.004075382173413247,0.00012285659075206875,0.11671017408033411,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
320,300,0.0506575048866222,0.050657504886622226,0.41357266774743423,0.004071312658374445,0.00012396880030979748,0.11656347837722356,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
321,300,0.05063125744001112,0.050631257440011096,0.41881928922135425,0.004070936715151109,0.00012550699470394232,0.11671980827491853,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
322,300,0.05068026012559848,0.05068026012559858,0.4277448816254964,0.004071651473199178,0.00012648259133016777,0.11685210088809322,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
323,300,0.05088397415348443,0.050883974153484446,0.3315269293018398,0.0040101441102184275,0.00012320505097301158,0.11396020692841749,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
324,300,0.051004666293971164,0.05100466629397116,0.28567984400322965,0.003981113375026846,0.00012152501286353791,0.11249403110137834,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
325,300,0.05111143098404269,0.05111143098404268,0.23919458628275955,0.00395198016989541,0.00011923746508986133,0.11099861708838996,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
326,300,0.05123176817087514,0.0512317681708751,0.27984591575593953,0.003970210602035101,0.00012322939599330424,0.11198787555556318,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
327,300,0.051273124226227075,0.051273124226227096,0.31601304332025865,0.003985564602193612,0.00012569637896090355,0.11280614608813842,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
328,300,0.05092232928137015,0.050922329281370145,0.4976816411223908,0.004092454406533087,0.00013325596253816797,0.11805814581631476,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
329,300,0.05057617136107104,0.0505761713610711,0.6372666697538245,0.0041842924980902765,0.00013783594322067675,0.12232653471774488,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
330,300,0.050829788856402394,0.050829788856402436,0.551559834130503,0.004123467167460301,0.00013739962920604796,0.11984053096663315,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
331,300,0.05090071951262294,0.05090071951262299,0.5574699244967758,0.0041261436131361665,0.00013832757104611574,0.12004053654634786,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
332,300,0.050679476607027756,0.05067947660702775,0.6651613420081871,0.004198625607985399,0.0001422386056563774,0.12341786020501018,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
333,300,0.05080042754809262,0.050800427548092705,0.6353723097045656,0.004175585254114086,0.00014039315637981228,0.12250012332526311,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
334,300,0.05098984757147866,0.05098984757147865,0.6319418989803357,0.00417200997543391,0.000141608515968516,0.12253521130988837,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
335,300,0.05101400263927178,0.05101400263927179,0.6671923838328532,0.004193937885879151,0.00014442956098299463,0.12371801084243281,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
336,300,0.05098350339925821,0.05098350339925822,0.7243102661227042,0.004230871027781511,0.0001474746455937357,0.1254682292502017,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
337,300,0.05092572140923829,0.05092572140923826,0.6484399744024348,0.004175626028217488,0.0001407228597027548,0.12311992172825277,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
338,300,0.05093943477311909,0.0509394347731191,0.5894598397033946,0.004132154606634452,0.00013894662446510604,0.1213949568123607,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
339,300,0.050878185062738425,0.050878185062738356,0.6336424200286811,0.0041614369964274355,0.00014157569761237755,0.12296456118369983,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
340,300,0.05093787289887191,0.0509378728988719,0.6178137626560944,0.004148139632737971,0.0001411123553375817,0.12253842237676049,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
341,300,0.05095108318495706,0.050951083184956975,0.6061097676855959,0.004137166237908833,0.0001406545571780583,0.12226151601446379,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
342,300,0.051046792096614946,0.05104679209661492,0.5609569394510958,0.004106279239382531,0.0001393120109000784,0.12099958258947441,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
343,300,0.05094046947381086,0.050940469473810916,0.6570599174918461,0.0041660425602462366,0.0001451462494783444,0.12397201424544718,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
344,300,0.05061733602368072,0.05061733602368069,0.8743860548810415,0.004323049774568097,0.0001550719341686008,0.13118126781409883,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
345,300,0.050568548087164954,0.05056854808716496,0.8935535673312129,0.004335126899733916,0.00015661968790920032,0.1319543808883808,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
346,300,0.050788343259829435,0.05078834325982946,0.8486784541931536,0.004299650421488002,0.0001565269694710058,0.13067151317668751,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
347,300,0.050738948450580565,0.05073894845058056,0.9028538094618422,0.004339237032390324,0.00016081432864520101,0.13269272784994074,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
348,300,0.05094858598041887,0.05094858598041889,0.8149668553193499,0.0042684869525841124,0.0001583137197481021,0.12973502034936976,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
349,300,0.05102297100807685,0.05102297100807679,0.7027977520903506,0.004185033219615713,0.00015239011510869663,0.12625708850666623,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
350,300,0.0510764724918628,0.05107647249186281,0.6789101962248937,0.004165467429260463,0.00015198442952019984,0.12551986540216215,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
351,300,0.051730069267563523,0.05173006926756354,0.41341014215167676,0.0039947328250951,0.00014363775435334965,0.11712202562790097,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
352,300,0.0518810822995439,0.051881082299543926,0.31671159738202415,0.00393920724287404,0.00013954054270474714,0.11427897175138767,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
353,300,0.05192121508787191,0.05192121508787196,0.2557704064877372,0.0039061354439465447,0.0001367285560668898,0.11241498333249972,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
354,300,0.05224399406128095,0.05224399406128106,0.13356528379041988,0.0038518282951564963,0.0001323926978928452,0.10876454197117014,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
355,300,0.05219546564624522,0.05219546564624522,0.049020143751745904,0.0038211960180910103,0.00012784284264257827,0.10668450052012242,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
356,300,0.05203472266415655,0.052034722664156596,0.02620854881544084,0.00381768496871341,0.00012462553814710314,0.10634346170988183,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
357,300,0.052069239171575944,0.0520692391715759,-0.09300782484946941,0.0037637574716851705,0.00012040330209543404,0.10346231406816302,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
358,300,0.05207202423640237,0.052072024236402496,-0.10640856502672841,0.003760003363858746,0.00011980116689123182,0.10327167389407074,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
359,300,0.0519896020855227,0.05198960208552273,-0.13208483738923923,0.0037496497289425065,0.00011852049348866468,0.10282374983072273,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
360,300,0.05179095304008027,0.05179095304008032,-0.11980414373970497,0.0037608694106452565,0.00011826230570945851,0.10336389782910754,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
361,300,0.05176436570976319,0.05176436570976316,0.0038333696169718457,0.003828393854280522,0.000124460728021017,0.10673905696369419,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
362,300,0.05157229767033223,0.05157229767033228,0.03509824763988457,0.003845476084014228,0.00012402528878679815,0.10764188311127164,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
363,300,0.05134623178690138,0.05134623178690129,0.03302318836963233,0.003845931095367642,0.00012205217683179124,0.1075694925211739,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
364,300,0.051392659847346166,0.05139265984734611,0.049490658631754586,0.0038573115548483127,0.00012322898822119145,0.10815357796741744,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
365,300,0.2697557679757629,0.2697557679757631,0.0843324499080459,0.024583626079010927,0.001514884262391948,0.14149460131044336,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
366,300,0.2671580487264066,0.26715804872640786,-0.01067055197327771,0.02379402693493528,0.0014752814177618092,0.13778079448092684,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
367,300,0.267332365430975,0.26733236543097555,-0.004061757476144575,0.023805441122938285,0.0014801367486862644,0.13811134763720187,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
368,300,0.2689376529713767,0.26893765297137634,0.0483971236258184,0.0241789304105153,0.0015160184106065519,0.14014393079847073,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
369,300,0.2665879572361934,0.2665879572361926,-0.07271198481109634,0.02319175496869417,0.0014921955402866446,0.13559634849302224,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
370,300,0.27563823521285646,0.2756382352128566,0.05219756445744606,0.024093382843809238,0.0017267176011089237,0.14029381738339566,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
371,300,0.2774824041903817,0.27748240419038206,0.16738476199927152,0.025006882102547742,0.0017484335908644357,0.14503791544182978,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
372,300,0.27841085599658866,0.2784108559965886,0.12753267497489817,0.024652116204998756,0.0017377220862439403,0.1434835457478853,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
373,300,0.2774144566782185,0.27741445667821824,0.09609314147190802,0.024367385924993053,0.0017299631153653485,0.1422021162181928,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
374,300,0.27810666192621586,0.278106661926216,0.02174253385771577,0.023721779573079887,0.0017102178613113796,0.13929560323649406,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
375,300,0.28113900167247374,0.28113900167247546,0.10421070853191762,0.024328369638944265,0.0017681940885399532,0.14256446364238773,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
376,300,0.2790982053342639,0.2790982053342647,-0.0021965143297373283,0.02343947704189341,0.0017253820596277883,0.13841428511194562,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
377,300,0.2783669391746195,0.2783669391746201,-0.021715220192596568,0.023254949138610433,0.0017231928125038232,0.13770764327922658,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
378,300,0.27746643086376915,0.2774664308637692,-0.0646559523344185,0.022888242947920568,0.0016903958594524653,0.13598120606781705,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
379,300,0.2778956866845184,0.27789568668451853,-0.03841332677557877,0.023066216766893143,0.0017166760914439025,0.13719651108290642,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
380,300,0.2724247433687155,0.27242474336871497,-0.21820295747608837,0.021696588477449204,0.0016060545547925424,0.1305825945232822,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
381,300,0.05208504333685582,0.0520850433368558,-0.029562379921218223,0.0038022210567755055,0.00013218407763650628,0.10706313965121109,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
382,300,0.05188777762374716,0.05188777762374712,-0.11767553309006323,0.0037608319225769025,0.0001270894355264574,0.10483161210782566,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
383,300,0.05174008289505156,0.05174008289505148,-0.05131341413896306,0.0038015334369848335,0.00012638087821447997,0.10687010261618352,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
384,300,0.05155105184886399,0.05155105184886406,-0.03764002620871822,0.003811328784249646,0.00012634317238508842,0.10745386286500422,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
385,300,0.2709791345035004,0.2709791345035003,-0.09878897664929882,0.022799080284388425,0.0015876907266358304,0.13605113464670443,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
386,300,0.26954017637177524,0.26954017637177424,-0.13923767639257506,0.02246035072813492,0.0015739683826460557,0.13465926292769476,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
387,300,0.273657671771136,0.2736576717711355,-0.006440527300597407,0.0234138620243301,0.0016613427274576743,0.1395831645046001,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
388,300,0.2731923776211883,0.2731923776211884,-0.01843670966743471,0.023290209443614818,0.001660784519424638,0.13908910219866466,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
389,300,0.27421813018982966,0.2742181301898293,-0.005502695902904296,0.023359672777915196,0.001694847486615256,0.13963201471927605,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
390,300,0.2720260199382063,0.2720260199382062,-0.07445577951230642,0.022806679817839792,0.0016509323486890244,0.13701223651248298,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
391,300,0.2701356801211026,0.2701356801211024,-0.13165813458523315,0.02234385454762914,0.0016251351163982435,0.1349154299824456,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
392,300,0.2727750952413746,0.2727750952413748,-0.05947277212976697,0.022841381017242864,0.0016965568612881115,0.13767840606818768,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
393,300,0.27709601886139534,0.2770960188613961,0.05745130741134934,0.023709357483415665,0.0017960143707557781,0.14233018856758756,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
394,300,0.2779571676696844,0.27795716766968415,0.0800260838189422,0.023867399101591837,0.0018046970044603196,0.1432607910006017,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
395,300,0.05187883632587927,0.05187883632587924,-0.047372261991181046,0.0038016122123547924,0.00013236107344456174,0.1079731692965206,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
396,300,0.051583589501023736,0.051583589501023784,0.18344652305226322,0.003896035557791572,0.00014090208556123338,0.1141132051407339,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
397,300,0.051688904069249246,0.05168890406924919,0.08713381665434383,0.0038583416972877496,0.00013535710927773775,0.11119994215863943,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
398,300,0.05185104281149279,0.05185104281149278,-0.07821769143278239,0.0037886709320105413,0.0001288087191135939,0.10682058587003006,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
399,300,0.051616067118901585,0.051616067118901605,0.1742743481532648,0.0038984348049060317,0.0001361790702130294,0.11338070756731265,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
400,300,0.05176486412499708,0.051764864124997055,0.12396312662529566,0.0038763764251076504,0.0001372615686808309,0.11178212879304686,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
401,300,0.05183594720766701,0.051835947207666974,-0.004153554752364717,0.003824955503845718,0.00013283722838133824,0.10834691956853292,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
402,300,0.05180570844218204,0.05180570844218212,-0.03846594532242826,0.003811709160754133,0.00012887270760635126,0.1073790122607133,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
403,300,0.05167369722187884,0.051673697221878805,0.000883732879570865,0.0038333918017487423,0.00012860000739598908,0.10849450983049858,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
404,300,0.05158437725592833,0.05158437725592823,0.027791626529002845,0.003851066336055527,0.0001288305397365976,0.10945453830063764,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
405,300,0.05161896747176025,0.05161896747176019,-0.013369294707424552,0.003834519105554223,0.00012707407760266837,0.10838684669026326,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
406,300,0.051411089325602226,0.05141108932560223,0.17821138418346724,0.003917674556336931,0.00013522199341289598,0.11336440808977921,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
407,300,0.05159135714764551,0.051591357147645504,0.11657675685079774,0.003888537309370063,0.00013196939108336178,0.11120898672811447,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
408,300,0.05162092724073302,0.051620927240733055,0.004915115940251137,0.0038426331615736423,0.00012822735376136776,0.10851823446078981,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
409,300,0.0515174012933862,0.051517401293386236,0.11865564537842105,0.003894219649807201,0.00013082861344720567,0.11136271077156072,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
410,300,0.05128718743931809,0.05128718743931811,0.27481899230834683,0.00396215653777354,0.00013677886384170463,0.11573483373727879,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
411,300,0.051467879605979316,0.05146787960597929,0.21899700181415233,0.003932704430482054,0.00013409158334657292,0.11389074695884423,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
412,300,0.051643191335560036,0.051643191335560085,0.0672205511727325,0.003866799639027494,0.00012878335586611025,0.10967091673917105,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
413,300,0.05144648582602084,0.05144648582602069,0.1870650009076638,0.003914159972334518,0.00013294308832620164,0.11256297325753498,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
414,300,0.27202495307057195,0.27202495307057245,-0.009537526687905999,0.02363432636525212,0.0015678752985848103,0.13834705146276083,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
415,300,0.267361894306413,0.267361894306413,-0.14898396265934696,0.022538593766746298,0.0014878300572049798,0.1332276080035793,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
416,300,0.27153681220092724,0.27153681220092757,-0.04239270222448243,0.023292775506585303,0.0015627626645889944,0.13703317136709614,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
417,300,0.2716829678995351,0.2716829678995351,-0.03825282525186437,0.023292127813020216,0.0015695190018987402,0.13728448535423002,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
418,300,0.2707634708726878,0.2707634708726884,-0.051184785847431705,0.0231552365760369,0.0015779629071813858,0.13671542275980186,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
419,300,0.05165140383445633,0.05165140383445634,-0.026126065427229193,0.0038133222827322565,0.00012826770085008632,0.10726396100867162,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
420,300,0.05167022698443107,0.05167022698443107,-0.05666052520574667,0.0038007971184610937,0.0001269487040626262,0.10647899339310046,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
421,300,0.051478453405642076,0.05147845340564209,-0.18665021574924404,0.0037344657530731505,0.00011879012579370276,0.10319798875380227,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
422,300,0.051311081427300065,0.05131108142730005,-0.04535380016423706,0.0038150224554844834,0.00012371946025335238,0.10710843549669051,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
423,300,0.05098173569010901,0.050981735690108984,0.14157680369168704,0.0038994656146741306,0.0001297435129787017,0.11195963970954613,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
424,300,0.051155450566767374,0.05115545056676738,0.1671102470684066,0.003907833704753787,0.0001294294592502035,0.11237427252903337,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
425,300,0.051177648152440657,0.05117764815244069,0.1798091274337274,0.003910597788130685,0.00013033029007928016,0.11242258203750209,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
426,300,0.050653504919238375,0.05065350491923839,0.4183126129737991,0.0040274997381863275,0.00013879113374476218,0.11937477555752968,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
427,300,0.05083921804376081,0.05083921804376077,0.36699907745060933,0.003995414042668282,0.00013875738903672616,0.11786273569485602,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
428,300,0.28405256178535304,0.28405256178535165,0.38568432879203424,0.026775891779016632,0.00181000524633514,0.15483351408881257,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
429,300,0.285281140149303,0.2852811401493038,0.4273672848326706,0.027104097495161135,0.0018431948195630629,0.15685961539105175,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
430,300,0.28900194310060673,0.28900194310060634,0.5631469681260767,0.028273061171341544,0.0019731625473879094,0.16331139701880887,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
431,300,0.2936126906832419,0.2936126906832414,0.7174866710386861,0.029680220879195113,0.002084612129223941,0.17116606376816312,bgn_gam_oracle_bscal300_s000@413b3c1+dirty
