model,tag,seed,eval_months,sr_ew,sr_max_eval,sr_orth,ew_share_of_srmax,ew_mu_min,dkkm_top_kappa,dkkm_at_top_min,dkkm_at_top_max,dkkm_best,lin_best,linrank_k0
kp_vy,vyx,0,125,0.3394553334687655,1.2630507260513006,1.2162926441397264,0.2687582742856347,0.013966223725190996,1.0,0.4249450373596366,0.4546424623266444,0.7855704421509131,0.6718108874845838,0.6718108874845838
kp_vy,vyx,1,125,0.37059296517069495,1.1775470891069744,1.117409570245062,0.31471604711090106,0.014963561573210509,1.0,0.4415867850147458,0.4660587314221345,0.703454752434368,0.609074520786921,0.5860900879032653
kp_vy,vyx,2,125,0.35532913449119796,1.2445088424596487,1.1925718376832648,0.2855175651375245,0.014461009932792935,1.0,0.4351724176249059,0.459308426322915,0.7604359284766408,0.6481477525932147,0.6330012539442437
kp_vy,vyx,3,125,0.37223712915462254,1.0786365444167532,1.0118367819070073,0.3450996826330419,0.014460973380250175,1.0,0.4376866072851258,0.459054347622074,0.7557222213277158,0.6327051567934489,0.6310646049878833
kp_vy,vyx,4,125,0.3661550637367013,1.1696058470417223,1.1091599608927578,0.313058509978225,0.014325682114148551,1.0,0.4222436827891958,0.444713897601701,0.7506999029153362,0.6572618716008433,0.6441450638180511
kp_vy,vyx,5,125,0.3986973410814146,1.1012886690490862,1.0263386103339862,0.36202800617722874,0.015578231163917995,1.0,0.4434294392141547,0.4515614875369914,0.653131868605131,0.5754027645886695,0.5720040864550279
kp_vy,vyx,6,125,0.3728885902350408,1.2016063404801984,1.1417877422760132,0.31032508540694215,0.014960666230076308,1.0,0.4540503302864281,0.4829518210100085,0.8073267840737768,0.6784328128383197,0.6782452272539677
kp_vy,vyx,7,125,0.3859472441321502,1.092492037799517,1.0216159665805578,0.3532723633478556,0.015267059950997213,1.0,0.4565411607041893,0.4716381382536368,0.7160017570428291,0.6224218609607209,0.6224218609607209
kp_vy,vyx,8,125,0.35647872704639233,1.2286881944983468,1.1750187216023413,0.2901295289094372,0.014393836181382577,1.0,0.4172161447187931,0.4377352074099465,0.7927410790614904,0.6851467664530345,0.6790080171484819
kp_vy,vyx,9,125,0.35743633939262726,1.2204000832053865,1.165583703164106,0.2928845583604182,0.014260110330213323,1.0,0.4222956267020245,0.4346846104596216,0.7496758532035953,0.6480895121784446,0.645348222585941
bgn_gam,g0235,0,125,0.17376686360323754,0.2508296633099524,0.17954364450899202,0.6927683963300318,0.0034883377058431506,1.0,0.1748212531468173,0.1751691825011893,0.1751691825011893,0.1454979140426138,0.0558202597455622
bgn_gam,g0235,1,125,0.14211273444663247,0.22336365839795613,0.16842242806145397,0.6362392855933491,0.0030944958815816792,1.0,0.1497839804357556,0.1577081770782533,0.1577081770782533,0.1373292277466362,0.1159589366587888
bgn_gam,g0235,2,125,0.08714455597297971,0.1094534377592217,0.06576525534150597,0.7961792498896416,0.0035278135840781035,1.0,0.0868911449804637,0.0871275215987503,0.0871275215987503,0.0643662957875736,0.0549670258065047
bgn_gam,g0235,3,125,0.07819421759076697,0.10779256558474146,0.072988329640045,0.725413827628904,0.003668676199391484,1.0,0.0783354120963604,0.0789452914849529,0.0800939914977545,0.0728659085383192,0.0347281993709231
bgn_gam,g0235,4,125,0.04579352958056258,0.054768497679132375,0.029997931038764667,0.8361290070224183,0.0036372156082652507,1.0,0.045661030694913,0.0457530516471708,0.0457530516471708,0.0281128757242953,0.0246575431783523
bgn_gam,g0235,5,125,0.08720820150724463,0.11128316473971511,0.06870538611513306,0.7836603291362136,0.003531920203473419,1.0,0.0870116375527281,0.08718382612061,0.08718382612061,0.0584195095134052,0.0476774613388167
bgn_gam,g0235,6,125,0.12804757953615079,0.17620068866230892,0.11921077644272242,0.7267144101891438,0.0034568589203991,1.0,0.1280124992583041,0.1284413016148702,0.1284413016148702,0.1036871506073914,0.0378088736612849
bgn_gam,g0235,7,125,0.12150569623822696,0.16661045112634226,0.11277711330179753,0.7292801586983764,0.0035668935659341513,1.0,0.1212390723154101,0.1217441232280112,0.1217441232280112,0.0882234864772342,0.0491708801959003
bgn_gam,g0235,8,125,0.09638866887955433,0.12774755949275798,0.0830097852589711,0.754524542482697,0.0036717251245863745,1.0,0.0958442279222933,0.0962055442953647,0.0962055442953647,0.0665805246268209,0.0582751797678502
bgn_gam,g0235,9,125,0.10057624338814883,0.1327229186511417,0.08569072997726203,0.757791076404148,0.003520300844684243,1.0,0.1006036873750628,0.1007125045693122,0.1016677652166681,0.0894944133998766,0.0677788364746343
bgn_gam,g0235f,0,125,0.10972466354764937,0.1737508760334313,0.12766049410047503,0.6315056709500406,0.0031110879010520873,1.0,0.1109899886540088,0.112815014065476,0.1136005563993978,0.089506524969795,0.0441515117355287
bgn_gam,g0235f,1,125,0.15273628290386343,0.3464076788911435,0.30320033730715873,0.4409148301584269,0.0026840495749363385,1.0,0.1696662670671129,0.1988728310870211,0.2150868649685329,0.1729700908502332,0.1215031583249913
bgn_gam,g0235f,2,125,0.10451809563197631,0.16459010906530444,0.12218365582578611,0.6350205138420963,0.0034580688015557826,1.0,0.1043998272889971,0.1052565030502018,0.1078370631021969,0.0911174318107902,0.0659794316578955
bgn_gam,g0235f,3,125,0.09795391108886814,0.16236257180615862,0.12413779530991717,0.603303520012071,0.0032652627977076917,1.0,0.0980025479701824,0.0984674945483537,0.0991368139892738,0.0939679200476941,0.0458744453236051
