method,P,kappa,sharpe,hjd,real_sr,t_vs_fm,prov
ew,1,0.0,0.34332921816129763,0.7884263966416966,0.2491764302574002,-73.71702142517084,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
ff,6,0.0,0.591353206878353,0.6248185317064401,0.551299841546516,-25.111227746367245,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
fm,6,0.0,0.691756777900862,0.5720298252904096,0.6709463312137641,,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
linlev,11,0.0,0.7101106672054325,0.5660721783795077,0.6895777532853428,5.708500226202766,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
linlev,11,0.0001,0.7116794455566828,0.5653676028673592,0.7037994112296172,5.9420056767802,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
linlev,11,0.001,0.709235533975611,0.5666140899998712,0.7012170086994017,5.220029602758928,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
linlev,11,0.01,0.6816367303746295,0.5823470643215656,0.6593549027168182,-2.91789986359081,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
linlev,11,0.1,0.5956016919349719,0.6314035411439016,0.5437441685966727,-24.049215904491813,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
linlev,11,1.0,0.5528133352971162,0.6540763866394614,0.4833416820283755,-33.57754696382293,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
linlev_m,11,0.0,0.7101106672054324,0.5660721783795082,0.6895777532853686,5.708500226202735,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
linlev_m,11,0.0001,0.7098519150989366,0.5661860522971108,0.6892278583267968,5.631049314829192,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
linlev_m,11,0.001,0.7074220119724672,0.5673384890684972,0.685934505510432,4.885448528208165,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
linlev_m,11,0.01,0.681277036424758,0.5820864019245403,0.650498313277617,-3.0489066983462414,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
linlev_m,11,0.1,0.5939042266907916,0.6319761336911806,0.5362607848849245,-23.645122179128876,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
linlev_m,11,1.0,0.5257974295522059,0.6680685033188275,0.4498113353785368,-36.73504443044536,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
linlev_m,11,10.0,0.41502510262457637,0.7125799026510586,0.32962619742752547,-59.918452588147964,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
linlev_m,11,100.0,0.35484327788010045,0.7339083187764125,0.25983453995256306,-71.7157312408221,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
linrank,6,0.0,0.7114613310674669,0.560341480845749,0.6719169346784721,6.144396407601116,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
linrank,6,0.0001,0.7084665459919478,0.5642218083837421,0.6896791518702992,4.816194273746969,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
linrank,6,0.001,0.6211182684246718,0.6129103935291119,0.6725528070077285,-18.95709990433359,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
linrank,6,0.01,0.5431063794362677,0.6547282925400738,0.6314014788578662,-42.197005001151396,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
linrank,6,0.1,0.4101711412905158,0.7243434584136281,0.488082280134307,-76.56606775457391,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
linrank,6,1.0,0.2888527901136073,0.7763845779986264,0.3425736190397044,-95.19001181888844,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
linrank_m,6,0.0,0.7114613310674669,0.560341480845749,0.671916934678472,6.144396407601115,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
linrank_m,6,0.0001,0.711333800608352,0.5604121555213174,0.6716717805300881,6.107677797442682,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
linrank_m,6,0.001,0.7101483083704754,0.5610809432885824,0.669446993945212,5.76212283761857,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
linrank_m,6,0.01,0.6961785905064022,0.569407544106613,0.6467680758770668,1.4156900852583334,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
linrank_m,6,0.1,0.6062633299197611,0.6190215247248746,0.5297680117962535,-24.439188193737635,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
linrank_m,6,1.0,0.49234494476437635,0.676729299928459,0.4029041195905952,-47.3530635496666,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
linrank_m,6,10.0,0.3727416592890365,0.7260575673501554,0.27752754162191884,-68.81413161528353,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
linrank_m,6,100.0,0.34653464246640275,0.7365699010894137,0.24930066844959656,-73.19036725848912,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
mkt_est,1,0.0,0.34332921816129763,0.7378667204091196,0.24583642201768546,-73.71702142517083,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
rff,36,0.0001,0.8572579922034465,0.47784322666870377,0.8728546126550225,48.28105968811684,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
rff,36,0.001,0.8050144404736579,0.5081651984153832,0.802352187638732,35.88712508213735,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
rff,36,0.01,0.7285650088423808,0.5531005554425149,0.6989050491802132,12.174173124236283,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
rff,36,0.1,0.6064628358187591,0.6221079481916836,0.530116618232935,-23.518917031649416,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
rff,36,1.0,0.4409547212369199,0.6988606946499222,0.34984125374570385,-59.643017418619536,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
rff,360,0.0001,0.9399089558522103,0.4273254896493478,0.9566018484105286,60.21346000982557,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
rff,360,0.001,0.892638353641379,0.45609113364038695,0.9079321999896688,57.33567156298088,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
rff,360,0.01,0.7901878022977962,0.520457104924935,0.7756167788072025,31.14542658234597,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
rff,360,0.1,0.6093482354463988,0.6204016451577573,0.5319121479807871,-23.171409808582137,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
rff,360,1.0,0.447181459400115,0.6962391768451272,0.35532729816820363,-57.73369694488303,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
rff,3600,0.0001,0.9498926204516605,0.42094274143596033,0.982793561411606,66.87088516729216,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
rff,3600,0.001,0.9014229325718699,0.4507649844715819,0.9225089378142143,59.629935522449884,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
rff,3600,0.01,0.7955576518675116,0.5176859085924402,0.7826596641404663,32.294623436629166,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
rff,3600,0.1,0.610012510283619,0.6201551772621305,0.5334454306175576,-23.53517614906556,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
rff,3600,1.0,0.4465202794485546,0.6964950970392508,0.35535211517824683,-58.61072795144359,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
rff_ens,36,0.0001,0.8960375022899636,0.4549753463723193,0.9187752934992737,59.78950155473115,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
rff_ens,36,0.001,0.8250889988422532,0.4970002413973003,0.8231939396736949,42.61868484588518,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
rff_ens,36,0.01,0.73779132419851,0.5486233168521933,0.7077180317857594,15.227224326722272,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
rff_ens,36,0.1,0.6082570025652995,0.6213565146344093,0.5310412948344545,-22.977894686802216,kp_vy_estimators_vyxT860_s007_w720_summary@fef5802+dirty
