method,P,kappa,sharpe,hjd,real_sr,t_vs_fm,prov
ew,1,0.0,0.18923821630664286,0.22072874013211913,0.2912753890785363,18.57777520003814,bgn_gam_estimators_g0235_s003_w360_summary@de109da+dirty
ff,6,0.0,0.12837788527447916,0.3175045098988701,0.18368767911611206,-5.603930195552286,bgn_gam_estimators_g0235_s003_w360_summary@de109da+dirty
fm,6,0.0,0.15080109568880173,0.3572209939937735,0.17507348304843667,,bgn_gam_estimators_g0235_s003_w360_summary@de109da+dirty
linlev,11,0.0,0.1579029480796368,0.32557966060707494,0.31167956643319567,3.1288385974531243,bgn_gam_estimators_g0235_s003_w360_summary@de109da+dirty
linlev,11,1e-07,0.15790923622343078,0.32556416553071144,0.3115904586557713,3.131634175639662,bgn_gam_estimators_g0235_s003_w360_summary@de109da+dirty
linlev,11,1e-06,0.1579644716916465,0.3254277939157776,0.31079364976292834,3.156092827044054,bgn_gam_estimators_g0235_s003_w360_summary@de109da+dirty
linlev,11,1e-05,0.1584008658795085,0.32432248133660424,0.30331337038757616,3.3408201111681706,bgn_gam_estimators_g0235_s003_w360_summary@de109da+dirty
linlev,11,0.0001,0.15886170968665098,0.32094582449513254,0.2596978048810735,3.31379914860405,bgn_gam_estimators_g0235_s003_w360_summary@de109da+dirty
linlev,11,0.001,0.16055206431862604,0.2887891759607359,0.2164154175324015,3.4887458036324936,bgn_gam_estimators_g0235_s003_w360_summary@de109da+dirty
linlev,11,0.01,0.1615609453026824,0.2230687358000232,0.21960336113262852,2.9565088460679614,bgn_gam_estimators_g0235_s003_w360_summary@de109da+dirty
linlev,11,0.1,0.13628109667192032,0.222034702025398,0.22125642573192097,-2.31236084364446,bgn_gam_estimators_g0235_s003_w360_summary@de109da+dirty
linlev,11,1.0,0.12114804754451967,0.2291199639139254,0.2192568815377654,-3.0644815914600465,bgn_gam_estimators_g0235_s003_w360_summary@de109da+dirty
linlev,11,10.0,0.12846766413066815,0.22907299661168748,0.20559307926632006,-2.3776439633664097,bgn_gam_estimators_g0235_s003_w360_summary@de109da+dirty
linlev,11,100.0,0.14029196754066506,0.2446693622514259,0.15888330716534252,-1.2450178955130962,bgn_gam_estimators_g0235_s003_w360_summary@de109da+dirty
