month,n,sr_max,sr_max_code,rf,mean_mu,sd_mu,mean_idio_sd
414,185,0.8330572417066282,0.9694737334876911,0.39171693908826355,0.014803761330535833,0.00654076944901517,0.10202344987089024
415,185,0.8278553312062733,0.9641621546239384,0.3685909023668659,0.01487182889022695,0.0065243968562958025,0.10213536926068141
416,185,0.8348590556749776,0.9644645227204773,0.3616772591136261,0.014831317864000803,0.00655686437299704,0.10190320358516881
417,183,0.8385558100376699,0.9760198708979617,0.3311209113507262,0.01487559382303238,0.006571064138261268,0.10208371730482105
418,183,0.852430111130135,0.9845078093802688,0.28648572338307343,0.014768562973831795,0.006575188670907999,0.10204875205593422
419,183,0.8392047573362007,0.9679303874692997,0.28982213991700045,0.014874263585516185,0.006547372552051839,0.10336093019338476
420,182,0.8560474951526921,0.9839990253487713,0.20260519289023204,0.014803149866932168,0.006519913983233179,0.10154448928777479
421,183,0.8710335169063961,0.9928036132859968,0.2568200852647198,0.014674223256088503,0.006653550727673432,0.10032718643351865
422,184,0.8765251742947412,0.9868352227051975,0.2898986549438376,0.014579383507679799,0.006586687519118902,0.10043149463621331
423,183,0.8927147024486851,0.9998119100481584,0.32884868913558274,0.014614955407864217,0.006626076497753996,0.10016794135579164
424,183,0.9049328477103421,1.0102481292160992,0.3182956062471224,0.01452391614464625,0.006639653545159458,0.0992239227593828
425,183,0.9121436275474468,1.0136436525920183,0.28319300264595637,0.014483696125387845,0.0066338544962622585,0.0983042683847545
426,183,0.9026120096466351,1.005641379099085,0.2965638917883887,0.014475485131123088,0.006637889715334484,0.09871464088181052
427,183,0.9126947842428658,1.0092535499817705,0.21212471216423262,0.014444680235000422,0.006645110929018994,0.09832122397338994
428,183,0.8777892046659016,0.9825116734181827,0.21927620466487063,0.014534880568525489,0.006638250202611769,0.09990444209470906
429,183,0.8906368724469866,0.993979992753114,0.15293584473400054,0.01444830741941557,0.006666627992825541,0.09905529365861594
430,183,0.8830978649120312,0.9841311327982504,0.2182635624603054,0.014386603199807722,0.006655325111340991,0.0990812902504934
431,183,0.8871945569356073,0.9883154831903738,0.21869279953304066,0.014372655982744068,0.006637746255773517,0.09908738740098759
432,184,0.9034917945155094,1.0060326598726006,0.19484478546998654,0.014332252460449479,0.006673856232523342,0.09840339800705271
433,184,0.9121565850162501,1.0164792042485784,0.1930818466009962,0.01434415690761646,0.006654468965127618,0.09810971373049832
434,183,0.9163661597303757,1.0280133109576048,0.09996327133212185,0.014412807833441607,0.006681056014414262,0.09803673474267363
435,183,0.8865084855565127,1.0082758112202983,0.17052806350308797,0.014556236957710017,0.006715065814861352,0.09909807943076003
436,182,0.8752991896524476,0.9959608719366635,0.20683315525261553,0.014493165618866337,0.006718707342680491,0.09810832738521495
437,182,0.8689623212321769,1.0002737282591363,0.1844442857386393,0.014548556407806038,0.006751477198705076,0.09811676800209351
438,181,0.9099175970471887,1.025131453421799,0.07481864110634066,0.014504586452515665,0.006728667229605369,0.0970993846708182
439,181,0.8823025588937796,0.9905325193160635,0.1666789568683748,0.014619564635394714,0.006749748452444762,0.09882686111937887
440,183,0.881491793317462,0.9724101178537675,0.13313684858017436,0.014759436017784105,0.006704954861896688,0.09940314936997885
441,184,0.9118717931114657,1.003517080128635,0.18329573790718812,0.014749016768799954,0.006730573900635571,0.09930993492187977
442,184,0.9237599886659728,0.9996988937458684,0.0944217148182152,0.01470149411788059,0.006759889912830632,0.09872725200571894
443,185,0.9121535435726758,0.9924448699748861,0.10112621260880017,0.014655926861461726,0.006757216859235733,0.09830875708225792
444,184,0.9099953505203056,0.9890085109647474,0.13344671182344992,0.014669771156330048,0.006733171660341294,0.09771706640970167
445,185,0.9081280687108875,0.984312342849801,0.0441702854546108,0.014647675164623624,0.006741151910938238,0.09792772585052893
446,184,0.9166833867429658,0.997100267680283,0.043767668333003835,0.014555880428601824,0.006748782152943262,0.09722837622577564
447,184,0.9170403339922549,1.003199157741956,0.059125006303119565,0.014574813673302546,0.006750040475599032,0.09712300254595271
448,184,0.9010754431752518,0.9832907173094724,0.11127769155105027,0.01467489323133818,0.006725169666558041,0.09815864393891457
449,185,0.8899915626300337,0.9783389548073428,0.14422410042939895,0.014721123649648891,0.006771989524028211,0.09877390280125542
450,185,0.8891491327088158,0.9802651351740992,0.12502198651773266,0.01474129604209079,0.006740603564928422,0.0986472266743351
