model,tag,N,months,overrides,SR_max,lin_rank,lin_rank_rf,fmr_raw,poly2,bins,rff36,rff360,rff3600,nonlin_gain,unlearnable,cs_sd_mu,idio_sd
bgn_dis,dis_long,300,985,"{""p_dis"":0.03,""kappa_dis"":2.5,""type_L"":[0.0,0.15,0.3],""type_accept"":[0.05,0.05,0.05],""type_scale"":[0.1368,0.1368,0.1368],""type_Cbar_shift"":[0,0,0],""type_bstar_policy"":""common"",""Cbar_comp"":1.3,""jstar_prefix"":""Jstar_dw13_""}",0.3405519353042525,0.2509904174126591,0.2510416861333712,0.2440124738627269,0.2703186341116212,0.2941108852330407,,0.2838666779343355,0.300373990610958,0.0493835731982988,0.0401779446932945,0.0096596886965236,0.1094817543181332
bgn_dis,dis_p10,500,485,"{""p_dis"":0.10,""kappa_dis"":1.45,""type_L"":[0.0,0.15,0.3],""type_accept"":[0.05,0.05,0.05],""type_scale"":[0.1368,0.1368,0.1368],""type_Cbar_shift"":[0,0,0],""type_bstar_policy"":""common"",""Cbar_comp"":1.3,""jstar_prefix"":""Jstar_dp10_""}",0.2942049473150912,0.2051263605039778,0.2052322274597731,0.1877541179753942,0.2444174623082425,0.2600562075641947,,0.2508747301090379,0.2599173083077115,0.0570314850093803,0.0320471018017329,0.0111260816960064,0.1737986754745029
bgn_dis,dis_p10b,500,485,"{""p_dis"":0.10,""kappa_dis"":1.82,""type_L"":[0.0,0.082,0.164],""type_accept"":[0.05,0.05,0.05],""type_scale"":[0.1368,0.1368,0.1368],""type_Cbar_shift"":[0,0,0],""type_bstar_policy"":""common"",""Cbar_comp"":1.3,""jstar_prefix"":""Jstar_dp10b_""}",0.3473329607212869,0.2312711367419319,0.2323142328409204,0.2213532763470332,0.2716996794807675,0.3014954188800072,,0.2905326227333133,0.3066858143794477,0.0758678223422255,0.0401940016371294,0.009324380309108,0.1248798663435343
bgn_dis,dis_w08,500,485,"{""p_dis"":0.03,""kappa_dis"":2.5,""type_L"":[0.0,0.15,0.3],""type_accept"":[0.05,0.05,0.05],""type_scale"":[0.1368,0.1368,0.1368],""type_Cbar_shift"":[0,0,0],""type_bstar_policy"":""common"",""Cbar_comp"":0.8,""jstar_prefix"":""Jstar_dw08_""}",0.3976111839598498,0.3329655210485344,0.3356727069428551,0.2640042273869261,0.3530023538713253,0.367989457524756,,0.3738949225535419,0.3789978626884237,0.0460323416398892,0.0186133212714261,0.0043455029474998,0.0871465176339828
bgn_dis,dis_w10,500,485,"{""p_dis"":0.03,""kappa_dis"":2.5,""type_L"":[0.0,0.15,0.3],""type_accept"":[0.05,0.05,0.05],""type_scale"":[0.1368,0.1368,0.1368],""type_Cbar_shift"":[0,0,0],""type_bstar_policy"":""common"",""Cbar_comp"":1.0,""jstar_prefix"":""Jstar_dw10_""}",0.3996349668117635,0.3339627141120497,0.3343332002945409,0.266895264421445,0.3494881992724824,0.3607617512796197,,0.3699647611004317,0.3764029456364448,0.042440231524395,0.0232320211753187,0.0056496272329142,0.0837675471095539
bgn_dis,dis_w11,500,485,"{""p_dis"":0.03,""kappa_dis"":2.5,""type_L"":[0.0,0.15,0.3],""type_accept"":[0.05,0.05,0.05],""type_scale"":[0.1368,0.1368,0.1368],""type_Cbar_shift"":[0,0,0],""type_bstar_policy"":""common"",""Cbar_comp"":1.1,""jstar_prefix"":""Jstar_dw11_""}",0.3917928639360155,0.3316713878895411,0.3317354030007697,0.2704981375114117,0.3383902427689849,0.3420402431120525,,0.3444542474842039,0.3488036162772739,0.0171322283877328,0.0429892476587415,0.0066425753004733,0.0853858197296672
bgn_dis,dis_w13,500,485,"{""p_dis"":0.03,""kappa_dis"":2.5,""type_L"":[0.0,0.15,0.3],""type_accept"":[0.05,0.05,0.05],""type_scale"":[0.1368,0.1368,0.1368],""type_Cbar_shift"":[0,0,0],""type_bstar_policy"":""common"",""Cbar_comp"":1.3,""jstar_prefix"":""Jstar_dw13_""}",0.3684453646247893,0.262560252790856,0.2627516372259347,0.2542643099266553,0.2891943589075776,0.3217490109167853,,0.3092898083254797,0.3279701974509302,0.0654099446600742,0.0404751671738591,0.0092810650323746,0.1052927332507362
bgn_dis,dis_w13L,500,485,"{""p_dis"":0.03,""kappa_dis"":2.5,""type_L"":[0.0,0.15,0.3],""type_accept"":[0.05,0.05,0.05],""type_scale"":[0.1368,0.1368,0.1368],""type_Cbar_shift"":[0,0,0],""type_bstar_policy"":""common"",""Cbar_comp"":1.3,""jstar_prefix"":""Jstar_dw13_""}",0.3684453646247893,0.262560252790856,0.2627516372259347,0.2542643099266553,0.2891943589075776,0.3217490109167853,,0.3092898083254797,0.3279701974509302,0.0654099446600742,0.0404751671738591,0.0092810650323746,0.1052927332507362
bgn_dis,dis_w15,500,485,"{""p_dis"":0.03,""kappa_dis"":2.5,""type_L"":[0.0,0.15,0.3],""type_accept"":[0.05,0.05,0.05],""type_scale"":[0.1368,0.1368,0.1368],""type_Cbar_shift"":[0,0,0],""type_bstar_policy"":""common"",""Cbar_comp"":1.5,""jstar_prefix"":""Jstar_dw15_""}",0.3294359753343129,0.2282204324786421,0.2289241165580838,0.1997433819255338,0.2730928177594441,0.2928881146735161,,0.287832255573725,0.3001996465623131,0.0719792140836709,0.0292363287719998,0.0114137254883258,0.141692028757855
bgn_dis,dis_w15L,500,485,"{""p_dis"":0.03,""kappa_dis"":2.5,""type_L"":[0.0,0.15,0.3],""type_accept"":[0.05,0.05,0.05],""type_scale"":[0.1368,0.1368,0.1368],""type_Cbar_shift"":[0,0,0],""type_bstar_policy"":""common"",""Cbar_comp"":1.5,""jstar_prefix"":""Jstar_dw15_""}",0.3294359753343129,0.2282204324786421,0.2289241165580838,0.1997433819255338,0.2730928177594441,0.2928881146735161,,0.287832255573725,0.3001996465623131,0.0731990398933933,0.0280165029622774,0.0114137254883258,0.141692028757855
bgn_dis,dis_w18,500,485,"{""p_dis"":0.03,""kappa_dis"":2.5,""type_L"":[0.0,0.15,0.3],""type_accept"":[0.05,0.05,0.05],""type_scale"":[0.1368,0.1368,0.1368],""type_Cbar_shift"":[0,0,0],""type_bstar_policy"":""common"",""Cbar_comp"":1.8,""jstar_prefix"":""Jstar_dw18_""}",0.2706441488185532,0.185737756924095,0.185974187184853,0.1763079993784891,0.1985073444816532,0.2227205982936172,,0.2179714322811286,0.2369792033078814,0.0512414463837864,0.0336649455106718,0.0098248927479469,0.1486419282638937
bgn_dis,sect9,500,485,"{""p_dis"":0.03,""kappa_dis"":2.5,""type_share"":[0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.112],""type_L"":[0.0,0.0,0.0,0.15,0.15,0.15,0.3,0.3,0.3],""type_scale"":[0.1368,0.08,0.05,0.1368,0.08,0.05,0.1368,0.08,0.05],""type_accept"":[0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05],""type_Cbar_shift"":""equalize"",""type_bstar_policy"":""accept"",""Cbar_comp"":0.3,""sigmaj_width"":0.1,""jstar_prefix"":""Jstar_s9_""}",0.3799597075180808,0.271464597479636,0.272464589567932,0.2462674961471512,0.2961169891877733,0.3069991226162872,,0.3271884394152877,0.3430513586678202,0.0780274897792973,0.0304676202591474,0.0106149911537069,0.099961141636556
bgn,base_N1000,1000,345,{},0.3329938112833879,0.251329736337733,0.25199500208156,0.1525291735339256,0.2565878754040414,0.2783834623487138,0.2612878575602674,0.2932403604274455,0.3031441131192055,0.0518143767814725,0.0298496981641823,0.0015451002193858,0.0667736178604621
bgn,base_N1000_T500,1000,485,{},0.3279953231651134,0.2596132879482238,0.259864084027811,0.1589173225670882,0.2690305324731495,0.2751292212854573,,0.2868989620017043,0.2941818450952244,0.0345685571470005,0.033813478069889,0.0014499136984147,0.064283641208312
bgn,base_s1,300,345,{},0.2637020270969368,0.2342299818900557,0.2343367956574509,0.1561601833593909,0.2430702355713498,0.2424035977817957,0.2396022982783412,0.245446021546733,0.2485435264913814,0.0143135446013257,0.0151585006055554,0.001325267677704,0.062457105246369
bgn,baseline,300,345,{},0.2767327681557159,0.2460260628717752,0.2459996780017544,0.1560117187842308,0.2532297610124117,0.2542552976371819,0.2475079135310432,0.2581437071660701,0.2623339636384088,0.0163079007666335,0.0143988045173071,0.0015740620259069,0.0650549956647402
bgn,bzr4,300,345,"{""beta_zr"":-0.0004,""jstar_file"":""Jstar_bzr4.csv""}",0.3063988496869249,0.2773594052479954,0.2767777572856464,0.1637809219234863,0.2800496372318151,0.287816954670726,0.281150042378437,0.2917451147385254,0.2965046938667234,0.0191452886187279,0.0098941558202015,0.0018921543271908,0.0665822759342724
bgn,bzrp2,500,485,"{""beta_zr"":0.0002,""jstar_file"":""Jstar_bzrp2.csv"",""sigmaj_width"":0.1}",0.2686992966914645,0.1983779811817043,0.1985195896715063,0.1223147526523839,0.2117621729537147,0.216861385767527,,0.2315021848641931,0.2391583353531799,0.0407803541714756,0.0295409613382845,0.0012728382024977,0.0542687800204426
bgn,sel05c15,300,345,"{""sigmaj_size_elast"":0.5,""sigmaj_scale_cap"":1.5}",0.2728162447971311,0.2360156842715863,0.2361896131143575,0.154118302076649,0.2441263577322135,0.2448318285013112,0.238650756166784,0.2486459062584337,0.2540284584136573,0.0180127741420709,0.0187877863834738,0.0015740620259069,0.0703307476883996
bgn,sel10,300,345,"{""sigmaj_size_elast"":1.0}",0.2673590657451761,0.1706866165471371,0.1718015751046613,0.1415591689058409,0.1852793694758206,0.1980635532238331,0.1802168768331941,0.1970265491730414,0.2235261742294796,0.0528395576823425,0.0438328915156964,0.0015740620259069,0.1000258364169456
bgn,sel10_N1000,1000,345,"{""sigmaj_size_elast"":1.0}",0.3246799044961012,0.1990387393282119,0.2025960941401311,0.1420167385002871,0.2213501880779068,0.2435574654000055,0.2231351160636236,0.2525694584725378,0.2674623426845103,0.0684236033562983,0.0572175618115908,0.0015451002193858,0.0962573820611125
bgn,sel10_N1000_T500,1000,485,"{""sigmaj_size_elast"":1.0}",0.319315098355081,0.2138662765672344,0.2154113085575355,0.1494882968478228,0.2354500786580031,0.2402915177653813,,0.2505322024752763,0.2595548783742905,0.045688601807056,0.0597602199807905,0.0014499136984147,0.0960491758631161
bgn,sel10c4,300,345,"{""sigmaj_size_elast"":1.0,""sigmaj_scale_cap"":4.0}",0.2653329981724351,0.0267250815679713,0.0263833128285908,0.0211640582961417,0.0384603262370388,0.1150906322132928,0.0435724302019009,0.0536378879600687,0.1544793520750521,0.1277542705070807,0.110853646097383,0.0015740620259069,3.430824317638674
bgn,sel10cap1,300,345,"{""sigmaj_size_elast"":1.0,""sigmaj_scale_cap"":1.0}",0.2784071520620846,0.2478371794728107,0.2478654385826362,0.1562576118915062,0.2553144990781946,0.2561214840106713,0.2494465892943071,0.2599231316699688,0.2639373335310028,0.016100154058192,0.0144698185310818,0.0015740620259069,0.0641019953094969
bgn,sel20,300,345,"{""sigmaj_size_elast"":2.0}",0.260852993274316,0.1566552721657898,0.1574907582495477,0.1376750175306784,0.1702228638642086,0.1774411245593831,0.1646572848443367,0.1788387384504993,0.2008764579017073,0.0442211857359175,0.0599765353726086,0.0015740620259069,0.1242886995248258
bgn,sel20cap1,300,345,"{""sigmaj_size_elast"":2.0,""sigmaj_scale_cap"":1.0}",0.279227677620361,0.2485294409718004,0.2485794875636081,0.1563385859049931,0.256158458344612,0.2568881327799958,0.2501659264492997,0.2605792948278188,0.2645330743742097,0.0160036334024092,0.0146946032461513,0.0015740620259069,0.0637289168262224
bgn,sm1,1000,485,"{""sigma_z"":1.0}",0.6740579436815182,0.6481250268878082,0.6483111093791911,0.1952617143995215,0.6570011886030608,0.6553101547062038,,0.660965541077532,0.6646081430871574,0.0164831161993492,0.0094498005943607,0.001425512969478,0.0555699229291522
bgn,sm1_sel10,1000,485,"{""sigma_z"":1.0,""sigmaj_size_elast"":1.0}",0.6602784131394612,0.6081622696664037,0.608229969943363,0.1915581278928685,0.6226806290612314,0.6214139193020776,,0.6330975074357321,0.6384232685748312,0.0302609989084274,0.02185514456463,0.001425512969478,0.0602290521893522
bgn,sr4,300,345,"{""sigma_r"":0.004,""jstar_file"":""Jstar_sr4.csv""}",0.2330601352904051,0.1576499323402612,0.1587889775644527,0.1029531273497078,0.1650395309904729,0.1656691145515533,0.1588317909254243,0.1719271910692861,0.1791869355554753,0.021537003215214,0.0538731997349298,0.0015969702047249,0.1170461791785174
bgn,sr4bzr8,300,345,"{""sigma_r"":0.004,""beta_zr"":-0.0008,""jstar_file"":""Jstar_sr4bzr8.csv""}",0.3343036897041281,0.2778759795590325,0.2777516044842395,0.1540158950115199,0.2802872699080368,0.2919215920292333,0.2839182304843836,0.2981950970174622,0.3064876246359368,0.0286116450769042,0.0278160650681912,0.0027345306005264,0.0937744535613994
bgn,sw01,300,345,"{""sigmaj_width"":0.1}",0.2883102119498094,0.2554529852244794,0.2554903037925805,0.1573075353860518,0.2638089721319588,0.2652561038605588,0.2574993769386916,0.2686973314405981,0.273176351343191,0.0177233661187116,0.0151338606066184,0.0015740620259069,0.0596882857899603
bgn,sw06,300,345,"{""sigmaj_width"":0.6}",0.2208212942439077,0.1276202042912536,0.1278979252314686,0.1190013850623918,0.1304993787590014,0.1340402687829994,0.1287470409005358,0.1348663409784464,0.1430793407033269,0.0154591364120733,0.0777419535405808,0.0015740620259069,0.2263129035960568
bgn,w01,1000,485,"{""sigmaj_width"":0.1}",0.3392026704581646,0.2672260443279899,0.2675122557752185,0.1606071042503693,0.2841412516579419,0.2898345665114534,,0.3029061264633702,0.3090712914610777,0.0418452471330877,0.0301313789970869,0.0014499136984147,0.0586332579833177
bgn,w01_sel10,1000,485,"{""sigmaj_width"":0.1,""sigmaj_size_elast"":1.0}",0.3386240516406242,0.266834476754168,0.2671215399656861,0.1604399822047569,0.2826523871042494,0.2888053430546717,,0.302033074260187,0.3081272037586733,0.0412927270045053,0.0304968478819508,0.0014499136984147,0.0589798315504777
bgn,w01b,1000,485,"{""sigmaj_width"":0.1}",0.3392026704581646,0.2672260443279899,0.2675122557752185,0.1606071042503693,0.2841412516579419,0.2898345665114534,,0.3029061264633702,,0.0356800821353802,0.0362965439947944,0.0014499136984147,0.0586332579833177
bgn_types,micro10,500,485,"{""sigmaj_width"":0.1,""type_share"":[0.10,0.45,0.45],""type_accept"":[0.05,0.3,0.6],""type_scale"":[0.25,0.05,0.03],""jstar_prefix"":""Jstar_v3_""}",0.2931927642946273,0.2602626777275703,0.2607397873614346,0.1052538662728261,0.260340006644023,0.2614468916694012,,0.2654179897243491,0.2757873591919975,0.0155246814644271,0.0174054051026298,0.0006464810164764,0.0426623691144766
bgn_types,types3,300,345,{},0.553174021086718,0.5250897625146413,0.5268456352091352,0.2818758519429613,0.5414326784199649,0.5382797341702051,0.5299872088143176,0.5429086987512639,0.54626024435925,0.0211704818446086,0.0069137767274679,0.0014903691463386,0.0481970421805363
bgn_types,types3eq,300,345,{},0.2679044009249108,0.2458150251283411,0.2468612960929798,0.1560382038924922,0.2547408212806534,0.2531022002618889,0.2474584943489677,0.2571516880397801,0.2602905229823861,0.0144754978540449,0.0076138779425246,0.0011241202759151,0.0542562200588888
bgn_types,types3eq_w01,500,485,"{""sigmaj_width"":0.1}",0.2935030123166415,0.2673043041553101,0.2677560675644311,0.1543107098664239,0.2777060880381555,0.277083847979556,,0.2809107303111795,0.2837658463389192,0.0164615421836091,0.0097371659777222,0.0009635665144399,0.0502491343936359
bgn_types,types3v2_bzrp2,500,485,"{""beta_zr"":0.0002,""sigmaj_width"":0.1,""type_share"":[0.6,0.3,0.1],""type_accept"":[0.05,0.2,0.6],""type_scale"":[0.2,0.08,0.03],""jstar_prefix"":""Jstar_v2p_""}",0.3256799274752888,0.2826546909568799,0.2842140371478008,0.1420051380703562,0.3034157115196239,0.3078478712849081,,0.3081911106601628,0.3144031454738283,0.0317484545169484,0.0112767820014604,0.0012444446446978,0.0474302179656246
