,eps,G_up_y0,G_down_y0,G_up_y1,G_down_y1,G_up_y2,G_down_y2,G_up_y3,G_down_y3,G_up_y4,G_down_y4,G_up_y5,G_down_y5,G_up_y6,G_down_y6,G_up_y7,G_down_y7,G_up_y8,G_down_y8,G_up_y9,G_down_y9,G_up_y10,G_down_y10,G_up_y11,G_down_y11,G_up_y12,G_down_y12,G_up_y13,G_down_y13,G_up_y14,G_down_y14,G_up_y15,G_down_y15,G_up_y16,G_down_y16,G_up_y17,G_down_y17,G_up_y18,G_down_y18,G_up_y19,G_down_y19,G_up_y20,G_down_y20
0,0.01,78872.09292606634,74805.14274835149,78872.0929260663,74805.14274835124,78872.09292606624,74805.14274835106,78872.09292606614,74805.14274835089,78872.09292606599,74805.14274835052,78872.0929260659,74805.14274835028,78872.09292606576,74805.14274835004,78872.0929260658,74805.14274835004,78872.09292606586,74805.14274834993,78872.09292606593,74805.14274834972,78872.0929260661,74805.14274834972,78872.09292606621,74805.14274835003,78872.0929260663,74805.14274835026,78872.09292606634,74805.14274835048,78872.09292606634,74805.14274835073,78872.09292606644,74805.14274835117,78872.09292606647,74805.14274835141,78872.09292606663,74805.14274835156,78872.09292606663,74805.14274835151,78872.09292606666,74805.14274835146,78872.09292606667,74805.1427483516
1,0.014994994994994995,78898.04135804674,74817.52038119953,78898.0413580467,74817.52038119928,78898.04135804664,74817.52038119908,78898.04135804652,74817.52038119893,78898.04135804638,74817.52038119856,78898.04135804628,74817.52038119831,78898.04135804615,74817.52038119808,78898.04135804616,74817.52038119805,78898.04135804626,74817.52038119793,78898.04135804634,74817.52038119773,78898.04135804651,74817.52038119773,78898.0413580466,74817.52038119806,78898.04135804668,74817.52038119831,78898.04135804673,74817.52038119851,78898.04135804671,74817.52038119876,78898.04135804679,74817.5203811992,78898.04135804687,74817.52038119944,78898.04135804702,74817.52038119959,78898.04135804703,74817.52038119952,78898.04135804708,74817.52038119947,78898.04135804708,74817.52038119963
2,0.019989989989989992,78924.12186104094,74829.94175436752,78924.1218610409,74829.94175436726,78924.12186104085,74829.94175436706,78924.12186104072,74829.94175436691,78924.12186104055,74829.94175436655,78924.12186104046,74829.94175436627,78924.12186104033,74829.94175436604,78924.12186104036,74829.941754366,78924.12186104046,74829.94175436592,78924.12186104055,74829.94175436567,78924.12186104071,74829.94175436567,78924.12186104078,74829.94175436602,78924.12186104087,74829.94175436629,78924.12186104093,74829.94175436646,78924.1218610409,74829.94175436675,78924.12186104097,74829.94175436719,78924.12186104104,74829.94175436745,78924.12186104122,74829.94175436755,78924.12186104125,74829.94175436748,78924.12186104126,74829.94175436745,78924.12186104128,74829.94175436761
3,0.024984984984984984,78950.33527576085,74842.40709017815,78950.3352757608,74842.40709017789,78950.33527576075,74842.40709017766,78950.3352757606,74842.40709017754,78950.33527576044,74842.40709017718,78950.3352757604,74842.40709017687,78950.33527576023,74842.40709017661,78950.33527576027,74842.40709017655,78950.33527576031,74842.40709017657,78950.33527576046,74842.40709017626,78950.3352757606,74842.40709017626,78950.33527576069,74842.40709017662,78950.33527576076,74842.4070901769,78950.33527576087,74842.40709017708,78950.33527576078,74842.40709017738,78950.33527576084,74842.4070901778,78950.33527576094,74842.40709017807,78950.33527576111,74842.40709017817,78950.33527576116,74842.40709017808,78950.33527576116,74842.40709017807,78950.33527576117,74842.40709017821
4,0.029979979979979983,78976.68252399874,74854.91663227345,78976.6825239987,74854.91663227316,78976.68252399864,74854.91663227297,78976.68252399846,74854.91663227287,78976.68252399836,74854.91663227249,78976.68252399829,74854.91663227217,78976.68252399805,74854.9166322719,78976.68252399814,74854.91663227184,78976.68252399818,74854.91663227185,78976.68252399834,74854.91663227153,78976.68252399848,74854.91663227153,78976.6825239986,74854.91663227191,78976.68252399865,74854.91663227214,78976.68252399877,74854.91663227236,78976.68252399864,74854.9166322727,78976.68252399875,74854.91663227306,78976.68252399884,74854.91663227335,78976.68252399901,74854.91663227347,78976.68252399906,74854.91663227337,78976.68252399904,74854.91663227332,78976.6825239991,74854.9166322735
5,0.034974974974974975,79003.16454371857,74867.47062836931,79003.1645437185,74867.47062836902,79003.16454371843,74867.47062836881,79003.16454371827,74867.47062836874,79003.1645437182,74867.47062836832,79003.16454371809,74867.470628368,79003.16454371782,74867.47062836774,79003.16454371797,74867.47062836765,79003.16454371797,74867.47062836772,79003.16454371819,74867.47062836734,79003.16454371829,74867.47062836739,79003.16454371845,74867.47062836772,79003.16454371852,74867.47062836797,79003.16454371857,74867.47062836819,79003.16454371845,74867.47062836855,79003.16454371857,74867.47062836893,79003.1645437187,74867.47062836918,79003.16454371884,74867.47062836935,79003.16454371887,74867.47062836918,79003.16454371884,74867.47062836916,79003.16454371893,74867.47062836932
6,0.03996996996996997,79029.78228108722,74880.06932812794,79029.78228108717,74880.06932812762,79029.78228108709,74880.06932812741,79029.78228108691,74880.06932812733,79029.78228108687,74880.06932812689,79029.78228108675,74880.06932812657,79029.78228108647,74880.0693281263,79029.7822810866,74880.06932812622,79029.78228108662,74880.06932812632,79029.78228108682,74880.06932812593,79029.78228108695,74880.069328126,79029.7822810871,74880.0693281263,79029.78228108717,74880.06932812656,79029.78228108722,74880.06932812677,79029.78228108711,74880.06932812717,79029.78228108722,74880.06932812755,79029.78228108736,74880.06932812778,79029.7822810875,74880.06932812795,79029.78228108752,74880.06932812775,79029.78228108752,74880.06932812778,79029.7822810876,74880.06932812795
7,0.04496496496496497,79056.53668924607,74892.71298282668,79056.536689246,74892.71298282636,79056.53668924591,74892.71298282614,79056.5366892458,74892.71298282608,79056.53668924575,74892.71298282561,79056.53668924561,74892.71298282531,79056.53668924533,74892.712982825,79056.53668924546,74892.71298282495,79056.53668924545,74892.71298282506,79056.5366892457,74892.71298282461,79056.53668924581,74892.71298282471,79056.53668924597,74892.71298282499,79056.53668924597,74892.71298282528,79056.53668924609,74892.7129828255,79056.53668924599,74892.71298282586,79056.53668924607,74892.71298282626,79056.53668924622,74892.71298282652,79056.5366892463,74892.71298282668,79056.53668924638,74892.71298282646,79056.53668924634,74892.71298282652,79056.53668924644,74892.71298282668
8,0.049959959959959964,79083.42872810827,74905.40184530139,79083.42872810818,74905.40184530104,79083.42872810813,74905.40184530083,79083.428728108,74905.40184530077,79083.42872810795,74905.40184530031,79083.4287281078,74905.40184530003,79083.42872810751,74905.4018452997,79083.42872810762,74905.40184529961,79083.42872810768,74905.40184529971,79083.42872810787,74905.40184529933,79083.428728108,74905.40184529939,79083.42872810816,74905.40184529962,79083.42872810813,74905.40184529994,79083.42872810827,74905.40184530018,79083.42872810818,74905.40184530056,79083.42872810828,74905.40184530095,79083.42872810838,74905.40184530122,79083.4287281085,74905.40184530137,79083.42872810857,74905.40184530114,79083.42872810848,74905.40184530122,79083.42872810864,74905.40184530137
9,0.054954954954954956,79110.45936434469,74918.13616994029,79110.45936434461,74918.13616993994,79110.45936434453,74918.13616993968,79110.45936434441,74918.13616993968,79110.45936434441,74918.1361699392,79110.4593643442,74918.13616993894,79110.45936434394,74918.13616993862,79110.45936434406,74918.13616993849,79110.4593643441,74918.1361699386,79110.45936434425,74918.13616993821,79110.45936434444,74918.13616993825,79110.45936434458,74918.13616993847,79110.45936434456,74918.13616993882,79110.45936434469,74918.13616993907,79110.45936434458,74918.13616993943,79110.45936434472,74918.13616993984,79110.4593643448,74918.1361699401,79110.45936434486,74918.13616994029,79110.45936434496,74918.13616994009,79110.45936434492,74918.13616994013,79110.45936434505,74918.13616994026
