,eps,G_up_y0,G_down_y0,G_up_y1,G_down_y1,G_up_y2,G_down_y2,G_up_y3,G_down_y3,G_up_y4,G_down_y4,G_up_y5,G_down_y5,G_up_y6,G_down_y6,G_up_y7,G_down_y7,G_up_y8,G_down_y8,G_up_y9,G_down_y9,G_up_y10,G_down_y10,G_up_y11,G_down_y11,G_up_y12,G_down_y12,G_up_y13,G_down_y13,G_up_y14,G_down_y14,G_up_y15,G_down_y15,G_up_y16,G_down_y16,G_up_y17,G_down_y17,G_up_y18,G_down_y18,G_up_y19,G_down_y19,G_up_y20,G_down_y20
0,0.01,19678.813396594047,18076.452737843512,19594.782661816782,18002.236308376818,19474.824903712717,17896.374615133416,19339.120117929473,17776.657509281587,19196.520659713875,17650.857536094594,19051.090054575478,17522.528336586576,18904.782428133625,17393.372450301875,18758.585450372313,17264.247595554596,18613.02915536005,17135.61287640882,18468.424643340084,17007.737191677345,18324.98658704855,16880.80562149094,18182.911271997404,16754.9867478878,18042.257705091135,16630.33768807243,17903.13438821485,16506.957929826407,17765.74368383994,16385.029058958855,17630.471342175606,16264.8944015316,17498.075865001432,16147.22743474975,17370.105566044753,16033.40323795922,17249.854092931804,15926.351111504237,17144.63743342796,15832.590261183008,17071.436788032315,15767.283970845321
1,0.014994994994994995,19693.684051421147,18084.997231178713,19609.54635677224,18010.727418849587,19489.434837712823,17904.789014152666,19353.55575537176,17784.98486640673,19210.773415610172,17659.0934017228,19065.157003329292,17530.671042894275,18918.66343086164,17401.421704721666,18772.281796357,17272.203817375565,18626.542902363442,17143.476874342745,18481.758297867975,17015.51000665834,18338.142966591808,16888.488457505828,18195.893489979117,16762.580961274118,18055.068855890553,16637.844646787504,17915.777633727925,16514.379052134245,17778.222383851764,16392.365877864024,17642.789287019335,16272.148683454801,17510.237728886765,16154.401412816354,17382.117841432773,16040.500094307112,17261.727106685114,15933.376020493177,17156.389886604364,15839.552745937624,17083.106412707133,15774.203459082411
2,0.019989989989989992,19708.632850818387,18093.57387639904,19624.387482209135,18019.250423667134,19504.12117650113,17913.234937101734,19368.066638163888,17793.34332772341,19225.100204796574,17667.359931505554,19079.296758834455,17538.843966776476,18932.6160177848,17409.500730347223,18786.048517159285,17280.189367682204,18640.12583273207,17151.36976351894,18495.159964864506,17023.311282166327,18351.366210023327,16896.199330581745,18208.941447333462,16770.202796197802,18067.944645055242,16645.378819355334,17928.484440219585,16521.82698856699,17790.763592053623,16399.729119558207,17655.16871431647,16279.429006215412,17522.460081854297,16161.601061225861,17394.18965611953,16047.622266256503,17273.658777535133,15940.42591517847,17168.200234960295,15846.539931147425,17094.833410640218,15781.14745213718
3,0.024984984984984984,19723.66032012541,18102.182843113602,19639.306558163767,18027.805490890536,19518.884432517752,17921.712549819193,19382.653270188828,17801.733056559027,19239.50152223999,17675.657286145895,19093.509807061033,17547.04726628084,18946.64066592688,17417.609682579365,18799.886080970515,17288.204399256574,18653.778405970006,17159.29169413872,18508.630095308075,17031.141165865367,18364.65675996799,16903.93838589267,18222.055578514985,16777.85239539348,18080.885499047145,16652.940346120755,17941.25522633656,16529.301877129466,17803.36771946033,16407.118919758093,17667.610027649338,16286.735503299158,17534.74332028965,16168.826511301706,17406.321399608565,16054.769883061641,17285.649488589264,15947.500922890622,17180.06885607421,15853.551942479975,17106.618155619664,15788.116074537234
4,0.029979979979979983,19738.767035619847,18110.824317253537,19654.304155097172,18036.392804753817,19533.725167892328,17930.222034102517,19397.316204190894,17810.154231957993,19253.977910905698,17683.985641811138,19107.796681106684,17555.281114663634,18960.737898573334,17425.74873177266,18813.795001388793,17296.24907958228,18667.501126147177,17167.242830856456,18522.169183917613,17038.9998196283,18378.01510198252,16911.705782581554,18235.23636011904,16785.529915329855,18093.891885695095,16660.529380932534,17954.090451335727,16536.803869105082,17816.03521695773,16414.535427238614,17680.11366975143,16294.06832103514,17547.08787903258,16176.077907002458,17418.51349919079,16061.943086412572,17297.699660122606,15954.601183210614,17191.996164156488,15860.588917693114,17118.46105769824,15795.109462790637
5,0.034974974974974975,19753.953583985647,18119.49848791101,19669.380853771254,18045.012552622717,19548.64395490444,17938.763574838853,19412.05600289446,17818.607036006983,19268.529923562226,17692.345177661333,19122.157923693972,17563.545688123762,18974.908248457286,17433.91805117442,18827.7758012849,17304.323578986365,18681.294506434097,17175.223341121346,18535.77773434371,17046.887408074985,18391.441730389746,16919.50168249148,18248.48427734518,16793.235515129832,18106.96428127367,16668.146080248654,17966.99058276471,16544.333118342387,17828.766543571044,16421.978793296734,17692.68009134815,16301.427608232483,17559.494200771805,16183.35539472595,17430.766389869408,16069.142020399611,17309.809719995344,15961.726838083443,17203.982580892556,15867.65099687731,17130.36253432825,15802.127755716549
6,0.03996996996996997,19769.220557340806,18128.205545714867,19684.53724032631,18053.66492338514,19563.64137113258,17947.337358416687,19426.87323423349,17827.09165227051,19283.158118094805,17700.736074309872,19136.594082568576,17571.841164288737,18989.152253241922,17442.11781543592,18841.829008367953,17312.42806917547,18695.15906474935,17183.23339373819,18549.456254896493,17054.804097157325,18404.93714408526,16927.326248774465,18261.799819880765,16800.9693552026,18120.10316646217,16675.790601791174,17979.956092494573,16551.88977993228,17841.562162569488,16429.44917045052,17705.30974733147,16308.813514900687,17571.96273228764,16190.659122050298,17443.080510667343,16076.366830274128,17321.98010002052,15968.878030597203,17216.028531862776,15874.738321250614,17142.323006817143,15809.17109325109
7,0.04496496496496497,19784.568552474168,18136.945682578244,19699.773905525453,18062.35010720093,19578.71799870948,17955.94357247889,19441.768470619216,17835.60826554768,19297.863056785904,17709.15851358412,19151.105709792795,17580.16772197921,19003.470454827017,17450.348200380882,18855.955154504623,17320.562723008203,18709.095323091384,17191.273158643595,18563.20525788969,17062.750053939217,18418.501845893512,16935.179645675056,18275.183481268916,16808.731597030852,18133.30902572409,16683.463104337006,17992.987456110564,16559.474010002265,17854.422540868076,16436.94671223677,17718.003096172466,16316.22619205056,17584.49392387485,16197.989237538037,17455.456304060106,16083.617662255705,17334.211235406117,15976.05490479317,17228.13444599249,15881.851032971212,17154.342899783012,15816.23961626153
8,0.049959959959959964,19799.998170722905,18145.71909165569,19715.091444633337,18071.068295459565,19593.87442420261,17964.582405880912,19456.74228882257,17844.15706183103,19312.645306199734,17717.612678484915,19165.693361632133,17588.52554116916,19017.86339923754,17458.609382966253,18870.1547756098,17328.72771445658,18723.103807431213,17199.342806868066,18577.02525953533,17070.725446559267,18432.13634246449,16943.062038493692,18288.635758807057,16816.522403134728,18146.582347207528,16691.163747682465,18006.085152814343,16567.085965681552,17867.348148931567,16444.47157317673,17730.760599827052,16323.665791660476,17597.088229250083,16205.345890702889,17467.89421588476,16090.894663499445,17346.503564665523,15983.25760563355,17240.300755463795,15888.989275105605,17166.422641067235,15823.333466514787
9,0.054954954954954956,19815.510017967787,18154.52596733921,19730.490457411477,18079.81968077606,19609.111238609566,17973.25404868682,19471.795269969673,17852.73822830261,19327.5054371778,17726.098753182665,19180.357598550945,17596.91480298203,19032.331636619394,17466.90154127847,18884.428411642457,17336.923218602347,18737.18504770833,17207.442510532364,18590.916779939704,17078.730444227218,18445.841144269732,16950.97359358322,18302.15715354306,16824.341937068384,18159.923622741397,16698.892692639878,18019.249665420255,16574.725805097733,17880.33946077088,16452.02390877274,17743.58272373239,16331.132466673122,17609.746105548347,16212.729232006612,17480.39469533651,16098.19798209288,17358.85752961417,15990.486278998422,17252.527895712185,15896.153191625532,17178.56266173117,15830.452786674374
