,eps,G_up_y0,G_down_y0,G_up_y1,G_down_y1,G_up_y2,G_down_y2,G_up_y3,G_down_y3,G_up_y4,G_down_y4,G_up_y5,G_down_y5,G_up_y6,G_down_y6,G_up_y7,G_down_y7,G_up_y8,G_down_y8,G_up_y9,G_down_y9,G_up_y10,G_down_y10,G_up_y11,G_down_y11,G_up_y12,G_down_y12,G_up_y13,G_down_y13,G_up_y14,G_down_y14,G_up_y15,G_down_y15,G_up_y16,G_down_y16,G_up_y17,G_down_y17,G_up_y18,G_down_y18,G_up_y19,G_down_y19,G_up_y20,G_down_y20
0,0.01,793278.8682217102,757413.0058983437,764660.5280786738,730661.132729294,737114.7810881081,704869.616760226,710597.8963557526,680002.7689624972,685068.2660275334,656026.3333360951,660486.2681615341,632907.4190700287,636814.14170911,610614.4369516899,614015.8722635321,589117.0396588334,592057.0874038461,568386.0656078792,570904.9606079007,548393.4860673092,550528.122835066,529112.3552756475,530896.5809887714,510516.7633304397,511981.6425640601,492581.79163833713,493755.84586794005,475283.470737256,476192.89527208277,458598.74031995935,459267.60101995,442505.41130468587,442955.823164923,426982.1298128269,427234.419263617,412008.34292642074,412081.1954901511,397564.26610959537,397474.8608736113,383630.8521881653,383394.98439288157,370189.7617906309
1,0.014994994994994995,793484.6163908141,757518.4482687444,764853.152953459,730760.7195339368,737295.2528945927,704963.7186140321,710767.1021898956,680091.7292593648,685227.0179697654,656110.470569338,660635.3105112112,632987.0289271356,636954.1574424258,610689.7942078254,614147.4888054588,589188.3998906305,592180.8817934158,568453.6667465642,571021.4641263569,548457.5498079973,550637.8251578927,529173.0883577274,530999.9339151881,510574.3587022674,512079.0633711109,492636.4295179788,493847.72033064836,475335.3195797087,476279.5803862333,458647.9577001316,459349.42745972617,442552.1447244069,443033.0975038826,427026.51743925427,427307.42598416406,412050.5142684315,412150.1988037831,397604.34263804625,397540.10637166846,383668.9479052853,383456.70054529805,370225.9837532698
2,0.019989989989989992,793691.2713894641,757624.2142079797,765046.611392414,730860.6066383215,737476.4915800383,705058.09937241,710937.014149203,680180.9487715424,685386.4206351863,656194.8488830818,660784.9530156383,633066.8631477264,637094.7271316892,610765.360404786,614279.6170585556,589259.9548233594,592305.1492307074,568521.4494280634,571138.4052758906,548521.7829236788,550747.932641412,529233.9795543343,531103.6622079095,510632.1017602346,512176.8321828158,492691.20541907183,493939.91764994565,475387.29748045106,476366.56522487267,458697.2958203776,459431.5323294976,442598.9911593928,443110.63065482455,427071.01090255624,427380.6734294768,412092.7847724707,412219.4261539167,397644.512118065,397605.5604974953,383707.13079210604,383518.61108801956,370262.2874995908
3,0.024984984984984984,793898.838613739,757730.3052254656,765240.9083122764,730960.7954281674,737658.5016277119,705152.7603084174,711107.6363246603,680270.4286693969,685546.4777595138,656279.4693540217,660935.1990885477,633146.9227229876,637235.8538985982,610841.1364556464,614412.2598794603,589331.705298686,592429.8923316055,568589.4144287163,571255.7864535538,548586.1861308898,550858.4474836284,529295.0295272175,531207.7678837605,510689.99311586533,512274.9508509684,492746.1199070656,494032.43952719733,475439.40496263735,476453.85135215794,458746.75516499986,459513.91706818395,442645.9510582335,443188.4239422811,427115.61061847676,427454.16281953914,412135.15482405154,412288.8786649185,397684.7749073244,397671.2242879509,383745.4011806456,383580.7169777689,370298.6733379573
4,0.029979979979979983,794107.3239806851,757836.7229752903,765436.0491045353,731061.2874220029,737841.2879538275,705247.7028171135,711278.9732023582,680360.1702354453,685707.1934392883,656364.3331620162,661086.0524734178,633227.2087390673,637377.5411664061,610917.1233609476,614545.4204007705,589403.6522388922,592555.1139647029,568657.562599212,571373.6102879707,548650.7602147779,550969.3720948892,529356.2390014816,531312.2531544017,510748.0334392211,512373.4214062507,492801.1736015279,494125.28782812145,475491.64259948296,476541.44048333657,458796.3362646361,459596.58325368934,442693.02491243073,443266.47881871066,427160.317042521,427527.8954921551,412177.6248455502,412358.55756973155,397725.131397692,397737.0988800115,383783.759434658,383643.019263638,370335.14160620107
5,0.034974974974974975,794316.7335109455,757943.4691389508,765632.0392550577,731162.0841634921,738024.8555606359,705342.9283166224,711451.0293468715,680450.174773384,685868.5718426936,656449.4415063846,661237.5169791674,633307.7223000043,637519.792418177,610993.3221376913,614679.1018097871,589475.7965814132,592680.8170486557,568725.8948041972,571491.8794536098,548715.5059733554,551080.7089275491,529417.6087140957,531417.120270011,510806.22341131145,512472.2459146806,492856.36713213386,494218.46445087274,475544.0109735419,476629.33436345035,458846.0396585556,459679.5324913009,442740.2132214691,443344.79676175414,427205.1306375814,427601.87280829955,412220.1952661823,412428.4641226301,397765.5819873707,397803.1854303026,383822.20592376834,383705.51901282946,370371.69264759845
6,0.03996996996996997,794527.0732774237,758050.5454108651,765828.8842972938,731263.1872081279,738209.2094937366,705438.4382359056,711623.8093622908,680540.4435968435,686030.617173956,656534.795595558,661389.5964476102,633388.4645182019,637662.6111670163,611069.7338105584,614813.307321262,589548.1392707407,592807.0045272178,568794.4119148056,571610.5966478996,548780.424210602,551192.4604549786,529479.1394075217,531522.3715000122,510864.5637182046,512571.4264599139,492911.70113322116,494311.97130977846,475596.5106716648,476717.53475237713,458895.8658899916,459762.7663999238,442787.51648849057,443423.37926155824,427250.0518699278,427676.09614043916,412262.8665182843,412498.59958845493,397806.1270774479,397869.4851051694,383860.7410202698,383768.21730149153,370408.3268078946
7,0.04496496496496497,794738.3493973572,758157.9534961125,766026.5898050464,731364.5981211571,738394.3548354834,705534.2340128534,711797.3178862022,680630.9780276337,686193.3336678452,656620.3966454638,661542.2947484265,633469.436512937,637806.0009514695,611146.3594105392,614948.0401731825,589620.6812571565,592933.6793653788,568863.1148074913,571729.7645876878,548845.5157353873,551304.6291683171,529540.8318287178,531628.0091300972,510923.055050106,512670.96514050587,492967.176242935,494405.81033282034,475649.14228421147,476806.0434225162,458945.81550541084,459846.2866099519,442834.93521962006,443502.2278188149,427295.08120858134,427750.5668707253,412305.63903673156,412568.96524094546,397846.7670713552,397935.99907913845,383899.3650986219,383831.11521329713,370445.0444348365
8,0.049959959959959964,794950.5680310077,758265.6951100434,766225.1613912813,731466.3184772234,738580.2967038966,705630.3170939574,711971.5595886934,680721.7793954405,686356.7255887652,656706.245879248,661695.6157783334,633550.6394101044,637949.9653347611,611223.1999746936,615083.303626079,589693.4234965175,593060.8445487296,568932.0043638274,571849.3860086594,548910.7813612849,551417.2175759361,529602.6867289676,531734.0354617314,510981.69810120005,512770.8640694592,493022.7931030837,494499.9834612197,475701.90640491375,476894.8621584043,458995.88905438746,459930.0947629121,442882.469923846,443581.3439444365,427340.2191252052,427825.28639069403,412348.5132588371,412639.56236246333,397887.50237477536,398002.72853466234,383938.0785353632,383894.21383920975,370481.8458780934
9,0.054954954954954956,795163.7353815724,758373.7719782384,766424.6047080436,731568.349860328,738767.0402525881,705726.6889342732,712146.5391722858,680812.8490377939,686520.7972306944,656792.3445272425,661849.5634610286,633632.074342189,638094.5079047447,611300.256546127,615219.1009629754,589766.3669502275,593188.5030834173,569001.0814704825,571969.4636652948,548976.2219065509,551530.2282034049,529664.70486386,531840.452812121,511040.49356963154,512871.1253741936,493078.5523591202,494594.4926494087,475754.80363086023,476983.9927566918,459046.08708958817,460014.1925114439,442930.1211130076,443660.7291595329,427385.46609409107,427900.25610124675,412391.4896243408,412710.3922439754,397928.3333956313,398069.6746621028,383976.88170910085,383957.51427746634,370518.7314892454
10,0.059949949949949954,795377.8576953537,758482.1858365375,766624.9254466159,731670.693863857,738954.5906709057,705823.3509974467,712322.2613720662,680904.1883000915,686685.5529173039,656878.6938269885,662004.1417472996,633713.7424482843,638239.6322740035,611377.5301740093,615355.4354894828,589839.5125852571,593316.657996231,569070.347019236,572090.0003309492,549041.8381941378,551643.6635935582,529726.8869933013,531947.2635142802,511099.4421575163,512971.75119660544,493134.4546601529,494689.3398650857,475807.83456250565,477073.43702619144,459096.4101667807,460098.5815193443,442977.88930180325,443740.3849954545,427430.8225921681,427975.47741268866,412434.5685754145,412781.4561850873,397969.2605440916,398136.83865976403,384015.77500051697,384021.0176336087,370555.70162179007
