r,J0,J1
-0.022587067684915675,1261.9339784344838,564.2681896152351
-0.022226779338854228,1248.9449221925179,559.5267352397778
-0.02186649099279278,1236.0614170258787,554.8249613585665
-0.021506202646731337,1223.2826751689079,550.1625102404539
-0.02114591430066989,1210.6079152583732,545.539017193836
-0.020785625954608443,1198.0363623112844,540.9541104262918
-0.020425337608547,1185.5672477105034,536.4074124035608
-0.020065049262485556,1173.1998091968112,531.8985424397798
-0.01970476091642411,1160.9332908656493,527.4271201127912
-0.01934447257036266,1148.7669431664065,522.992769033339
-0.018984184224301218,1136.700022902326,518.5951205073865
-0.01862389587823977,1124.7317932294386,514.2338167038148
-0.018263607532178323,1112.8615236535022,509.9085130517349
-0.01790331918611688,1101.0884900244748,505.6188797152513
-0.017543030840055433,1089.411974528671,501.3646021049073
-0.017182742493993985,1077.8312656790574,497.1453804695179
-0.016822454147932542,1066.3456583044874,492.9609286661317
-0.016462165801871095,1054.9544535388006,488.8109722357982
-0.016101877455809648,1043.656958810762,484.6952459303006
-0.015741589109748204,1032.4524878359236,480.6134908515787
-0.015381300763686757,1021.3403606115178,476.565451387688
-0.01502101241762531,1010.3199034155919,472.5508721556517
-0.014660724071563864,999.3904488116334,468.5694951840702
-0.014300435725502419,988.5513356599259,464.6210575744699
-0.013940147379440972,977.8019091367446,460.7052898585542
-0.013579859033379526,967.141520762218,456.8219152129196
-0.01321957068731808,956.5695284373437,452.9706496062683
-0.012859282341256634,946.085296490144,449.15120284864526
-0.012498993995195188,935.688195730558,445.36328040603786
-0.012138705649133743,925.3776035133174,441.6065857566916
-0.011778417303072296,915.1529038078758,437.8808230139383
-0.01141812895701085,905.0134872745014,434.1856995325321
-0.011057840610949405,894.9587513458786,430.5209282500902
-0.01069755226488796,884.9881003138827,426.88622958220265
-0.010337263918826514,875.1009454217046,423.28133277339634
-0.009976975572765067,865.2967049618795,419.70597668945675
-0.009616687226703622,855.5748043812191,416.15991010506605
-0.009256398880642176,845.934676393893,412.64289158515015
