r,J0,J1
-0.022587067684915675,255.79229431463756,246.43183276939595
-0.022406923511884953,253.40222601059392,244.06078050922744
-0.022226779338854228,251.02718269484885,241.70496773001562
-0.022046635165823503,248.667137620122,239.36437553182228
-0.02186649099279278,246.3220646376589,237.03898591218834
-0.02168634681976206,243.99193820286794,234.72878178446547
-0.021506202646731337,241.6767333810403,232.43374699684523
-0.021326058473700615,239.37642585316055,230.15386635211217
-0.02114591430066989,237.09099192180233,227.88912562816256
-0.020965770127639165,234.8204085171108,225.63951159931352
-0.020785625954608443,232.56465320286907,223.40501205844146
-0.02060548178157772,230.32370418264858,221.18561583998164
-0.020425337608547,228.09754030604068,218.9813128438121
-0.020245193435516277,225.88614107496701,216.79209406005813
-0.020065049262485556,223.68948665006116,214.6179515948292
-0.019884905089454834,221.50755785712113,212.45887869691444
-0.01970476091642411,219.34033619362268,210.31486978544297
-0.019524616743393383,217.18780383528284,208.1859204785162
-0.01934447257036266,215.0499436426679,206.0720276228121
-0.01916432839733194,212.92673916782715,203.97318932415618
-0.018984184224301218,210.8181746609415,201.88940497905105
-0.018804040051270496,208.7242350769693,199.82067530715776
-0.01862389587823977,206.64490608226737,197.76700238472282
-0.018443751705209045,204.5801740611726,195.72838967896473
-0.018263607532178323,202.53002612251916,193.70484208344124
-0.0180834633591476,200.49445010607144,191.69636595445812
-0.01790331918611688,198.47343458885769,189.70296914861507
-0.017723175013086158,196.46696889138346,187.72466106163859
-0.017543030840055433,194.4750430837157,185.76145266872123
-0.017362886667024707,192.49764799143426,183.81335656666388
-0.017182742493993985,190.53477520144912,181.88038701821614
-0.017002598320963264,188.58641706769953,179.96255999910218
-0.016822454147932542,186.6525667167551,178.05989324834073
-0.01664230997490182,184.7332180533557,176.1724063225577
-0.016462165801871095,182.82836576593257,174.30012065509217
-0.01628202162884037,180.93800533217336,172.44305962075885
-0.016101877455809648,179.06213302468646,170.60124860716124
-0.015921733282778926,177.20074591683925,168.7747150934268
-0.015741589109748204,175.35384188883498,166.96348873713058
-0.01556144493671748,173.52141963408462,165.16760146998695
-0.015381300763686757,171.7034786659123,163.38708760258967
-0.015201156590656033,169.90001932460513,161.6219839380449
-0.01502101241762531,168.1110427847756,159.87232989378995
-0.014840868244594588,166.33655106294643,158.13816763016558
-0.014660724071563864,164.5765470252125,156.41954218347237
-0.01448057989853314,162.83103439474317,154.71650160024762
-0.014300435725502419,161.10001775881176,153.02909706841263
-0.014120291552471695,159.38350257494065,151.3573830397726
-0.013940147379440972,157.68149517566385,149.70141733716176
-0.01376000320641025,155.99400277131627,148.06126123836466
-0.013579859033379526,154.3210334501932,146.4369795278897
-0.013399714860348803,152.6625961753726,144.82864050680337
-0.01321957068731808,151.01870077747105,143.23631595021484
-0.013039426514287357,149.3893579426322,141.66008100174076
-0.012859282341256634,147.77457919512068,140.10001399443996
-0.012679138168225912,146.1743768740107,138.556196188335
-0.012498993995195188,144.58876410366727,137.02871141581633
-0.012318849822164465,143.0177547579514,135.51764562793477
-0.012138705649133743,141.46136341840838,134.02308633684873
-0.01195856147610302,139.91960532705758,132.5451219524532
-0.011778417303072296,138.39249633481973,131.08384101441425
-0.011598273130041574,136.88005284704943,129.63933132434386
-0.01141812895701085,135.38229176809148,128.21167898657396
-0.011237984783980127,133.89923044720086,126.80096736972668
-0.011057840610949405,132.43088662853603,125.4072760048927
-0.010877696437918683,130.97727840822623,124.03067943952331
-0.01069755226488796,129.5384242016879,122.67124606893164
-0.010517408091857236,128.11434272437532,121.32903696944496
-0.010337263918826514,126.70505298898959,120.0041047585873
-0.01015711974579579,125.31057432179378,118.69649250812121
-0.009976975572765067,123.93092640006601,117.40623273526431
-0.009796831399734345,122.56612931187928,116.13334649591583
-0.009616687226703622,121.21620363829915,114.87784260130933
-0.009436543053672898,119.88117055677766,113.6397169762497
-0.009256398880642176,118.56105196300224,112.41895217310527
-0.009076254707611453,117.2558706067996,111.21551705120163
-0.008896110534580729,115.96565023593345,110.02936662637494
-0.008715966361550007,114.69041573987033,108.8604420904216
-0.008535822188519284,113.43019328388874,107.70867099523372
-0.00835567801548856,112.18501042238036,106.57396759175329
-0.008175533842457838,110.9548961789453,105.45623330970605
-0.007995389669427115,109.73988107999875,104.35535736054447
-0.007815245496396391,108.53999712820827,103.27121744328015
-0.0076351013233656685,107.35527770222575,102.20368053098751
-0.007454957150334946,106.18575736994883,101.15260371477657
-0.007274812977304222,105.03147160397653,100.117835081934
-0.0070946688042734995,103.89245639001265,99.09921460569694
-0.006914524631242777,102.76874772171726,98.09657502566107
-0.006734380458212053,101.66038097881136,97.10974270001445
-0.00655423628518133,100.5673901890476,96.13853841351312
-0.006374092112150607,99.48980717879404,95.18277812820448
-0.006193947939119884,98.42766062130926,94.24227366721917
-0.006013803766089161,97.38097499611376,93.3168333253304
-0.005833659593058437,96.34976947698323,92.40626240327485
-0.0056535154200277144,95.33405676981764,91.5103636659187
-0.005473371246996992,94.33384192477034,90.62893772712617
-0.005293227073966268,93.34912114938359,89.7617833665471
-0.0051130829009355455,92.37988065094841,88.90869778545532
-0.004932938727904823,91.42609553675962,88.0694768101639
-0.0047527945548741,90.48772880034835,87.24391505245092
-0.004572650381843377,89.56473042013323,86.4318060368322
-0.004392506208812655,88.65703659429025,85.63294230446364
-0.004212362035781932,87.76456913211311,84.84711550299458
-0.004032217862751209,86.88723501786671,84.07411647088712
-0.0038520736897204866,86.02492615831056,83.3137353236332
-0.0036719295166897634,85.17751931990075,82.56576154802852
-0.0034917853436590403,84.34487625639441,81.82998410926301
-0.003311641170628317,83.52684402239548,81.10619157415465
-0.003131496997597594,82.72325546351705,80.39417225243406
-0.002951352824566871,81.93392986947686,79.69371435667054
-0.0027712086515361478,81.15867377273814,79.00460618023192
-0.0025910644785054246,80.39728187238634,78.32663629166595
-0.0024109203054747015,79.64953806084965,77.65959374307509
-0.002230776132443979,78.91521652986378,77.00326828946251
-0.002050631959413256,78.19408293172908,76.35745061564752
-0.0018704877863825334,77.48589557235306,75.72193256717513
-0.0016903436133518107,76.79040661372922,75.0965073816582
-0.001510199440321088,76.1073632652594,74.4809699171638
-0.0013300552672903653,75.4365089455475,73.87511687455128
-0.0011499110942596426,74.77758439885321,73.27874701106137
-0.0009697669212289199,74.13032875314018,72.69166134289428
-0.0007896227481981968,73.49448050947605,72.11366333497772
-0.0006094785751674736,72.8697784553039,71.54455907657116
-0.0004293344021367505,72.25596249673201,70.9841574417675
-0.0002491902291060274,71.6527744073815,70.43227023431058
-6.904605607530425e-05,71.05995849344893,69.8887123164393
0.00011109811695541889,70.47726217644525,69.35330172170224
0.000291242289986142,69.90443649654023,68.82585975185297
0.00047138646301686515,69.34123654058918,68.30621105805668
0.0006515306360475883,68.78742179975158,67.79418370672764
0.0008316748090783114,68.24275646215942,67.28960923038198
0.0010118189821090346,67.70700964639649,66.7923226639628
0.0011919631551397577,67.17995558164182,66.3021625671738
0.0013721073281704808,66.66137374025207,65.81897103346219
0.001552251501201204,66.15104892835389,65.34259368642344
0.001732395674231927,65.64877133971798,64.8728796645565
0.0019125398472626502,65.1543365778266,64.40968159546962
0.002092684020293373,64.6675456506546,63.95285556081382
0.0022728281933240956,64.18820494227495,63.50226105338233
0.0024529723663548183,63.71612616500113,63.05776092794423
0.002633116539385541,63.251126295381475,62.619221347458534
0.0028132607124162637,62.7930274969956,62.18651172632625
0.0029934048854469864,62.34165703264791,61.759504672271085
0.003173549058477709,61.896847168226074,61.3380759282894
0.003353693231508432,61.45843507018166,60.92210431587925
0.003533837404539155,61.02626269829955,60.511471680456616
0.003713981577569878,60.60017669514435,60.106062839510656
0.0038941257506006012,60.180028273314306,59.70576553366328
0.004074269923631324,59.76567310138803,59.310470380407104
0.004254414096662048,59.35697118922765,58.92007082992849
0.004434558269692771,58.9537867731004,58.534463122108875
0.004614702442723493,58.55598820091441,58.15354624356112
0.004794846615754217,58.16344781772548,57.77722188341858
0.00497499078878494,57.77604185158142,57.405394386566584
0.005155134961815662,57.39365029971554,57.03797070309119
0.005335279134846385,57.01615681509613,56.67486033291623
0.005515423307877108,56.64344859337384,56.31597526489305
0.00569556748090783,56.275416260339526,55.9612299099747
