r,J0,J1
-0.022587067684915675,1467.7318453334246,1162.0351946371056
-0.022226779338854228,1453.1187193837186,1149.7496696236797
-0.02186649099279278,1438.6241031300153,1137.5794114773753
-0.021506202646731337,1424.2471116442698,1125.523867703604
-0.02114591430066989,1409.9868669059467,1113.582502995674
-0.020785625954608443,1395.8424977568807,1101.7547997335566
-0.020425337608547,1381.8131398563423,1090.0402585153483
-0.020065049262485556,1367.897935636303,1078.4383987240715
-0.01970476091642411,1354.0960342568621,1066.9487591328784
-0.01934447257036266,1340.4065915617891,1055.5708985519498
-0.018984184224301218,1326.8287700341757,1044.3043965205575
-0.01862389587823977,1313.3617387521222,1033.1488540474525
-0.018263607532178323,1300.0046733444556,1022.1038944020142
-0.01790331918611688,1286.7567559463707,1011.1691639571434
-0.017543030840055433,1273.6171751549448,1000.3443330828799
-0.017182742493993985,1260.585125984423,989.6290970874302
-0.016822454147932542,1247.6598098211123,979.0231772005167
-0.016462165801871095,1234.8404343777534,968.5263215941078
-0.016101877455809648,1222.1262136471855,958.1383064395518
-0.015741589109748204,1209.5163678551203,947.858937010193
-0.015381300763686757,1197.0101234119352,937.6880488565088
-0.01502101241762531,1184.606712863421,927.6255091069879
-0.014660724071563864,1172.3053748406053,917.6712179796443
-0.014300435725502419,1160.105354008894,907.825110618539
-0.013940147379440972,1148.0059010169086,898.087159383492
-0.013579859033379526,1136.0062724454567,888.4573766997311
-0.01321957068731808,1124.1057307568828,878.9358184947861
-0.012859282341256634,1112.3035442446835,869.5225880914696
-0.012498993995195188,1100.598986982499,860.2178401777442
-0.012138705649133743,1088.9913387706504,851.021784145433
-0.011778417303072296,1077.479885077174,841.9346857175173
-0.01141812895701085,1066.0639169693789,832.9568654359675
-0.011057840610949405,1054.7427310313547,824.0886923529124
-0.01069755226488796,1043.515629263351,815.3305712607106
-0.010337263918826514,1032.3819189604635,806.6829220987502
-0.009976975572765067,1021.3409125711883,798.146150828728
-0.009616687226703622,1010.3919275405336,789.7206120468863
-0.009256398880642176,999.5342861474231,781.4065647900467
-0.008896110534580729,988.7673153508684,773.204124207724
-0.008535822188519284,978.0903466633018,765.1132127894523
-0.008175533842457838,967.5027160712237,757.1335154365183
-0.007815245496396391,957.0037640226172,749.26444269381
-0.007454957150334946,946.5928354970464,741.5051058581997
-0.0070946688042734995,936.2692801684764,733.8543065260426
-0.006734380458212053,926.0324526634478,726.3105416173432
-0.006374092112150607,915.881712909483,718.8720232723985
-0.006013803766089161,905.8164265616566,711.5367115273066
-0.0056535154200277144,895.8359654902744,704.3023565617654
-0.005293227073966268,885.9397083099517,697.1665467120974
-0.004932938727904823,876.1270409304061,690.1267583829783
-0.004572650381843377,866.3973571115187,683.1804044024624
-0.004212362035781932,856.7500590090177,676.3248781064741
-0.0038520736897204866,847.1845577018738,669.5575913414082
-0.0034917853436590403,837.7002736971824,662.876005476304
-0.003131496997597594,828.2966374126436,656.2776552963361
-0.0027712086515361478,818.9730896401143,649.7601662351874
-0.0024109203054747015,809.7290819962208,643.321265774177
-0.002050631959413256,800.5640773675408,636.958790009558
-0.0016903436133518107,791.477550358719,630.6706864096536
-0.0013300552672903653,782.4689877522113,624.4550137025968
-0.0009697669212289199,773.5378889883873,618.3099397019676
-0.0006094785751674736,764.683766674683,612.23373772866
-0.0002491902291060274,755.9061471324601,606.224782145608
0.00011109811695541889,747.2045709902325,600.2815433972851
0.00047138646301686515,738.5785938320936,594.4025828389368
0.0008316748090783114,730.0277869104328,588.5865475488599
0.0011919631551397577,721.5517379324332,582.8321652391313
0.001552251501201204,713.1500519304358,577.1382393184687
0.0019125398472626502,704.8223522270845,571.5036441202794
0.0022728281933240956,696.5682815072241,565.9273202942233
0.002633116539385541,688.387503009941,560.4082703705876
0.0029934048854469864,680.27970185571,554.9455545358531
0.003353693231508432,672.244586525494,549.5382866900525
0.003713981577569878,664.2818905105039,544.1856308742252
0.004074269923631324,656.3913741533147,538.8867981450502
0.004434558269692771,648.5728267029638,533.6410439293786
0.004794846615754217,640.8260686087915,528.4476658226054
0.005155134961815662,633.1509540803482,523.3060017214847
0.005515423307877108,625.5473739443631,518.2154281290228
0.005875711653938553,618.0152588353895,513.1753584570913
0.0062359999999999985,610.5545827655252,508.18524119018184
0.006596288346061445,603.1653671318147,503.24455785411413
0.006956576692122891,595.8476852385802,498.3528208350201
0.007316865038184337,588.6016674356842,493.50957118727786
0.0076771533842457836,581.4275069999777,488.71437662642234
0.00803744173030723,574.3254669092333,483.96682990642773
0.008397730076368676,567.2958876633317,479.2665477272526
0.008758018422430121,560.3391962780793,474.6131702206506
0.009118306768491569,553.4559164891136,470.00636094361926
0.009478595114553014,546.6466800323835,465.4458071971458
0.00983888346061446,539.9122385949815,460.93122040754224
0.010199171806675905,533.2534756531127,456.4623362739819
0.01055946015273735,526.671416956597,452.0389144028311
0.010919748498798797,520.1672379399257,447.66073721021206
0.011280036844860244,513.7422659320324,443.3276079646914
0.011640325190921692,507.39797481928724,439.0393479446674
0.012000613536983139,501.13596991028885,434.7957927834888
0.012360901883044584,494.9579612495637,430.5967881569966
0.01272119022910603,488.8657245598436,426.4421850256521
0.013081478575167475,482.86105029933594,422.33183467444564
0.01344176692122892,476.9456828439198,418.26558379990183
0.013802055267290366,471.1212533074834,414.2432698787204
0.014162343613351811,465.38921072299024,410.26471702162615
0.014522631959413257,459.75075697238776,406.3297324733932
0.014882920305474702,454.2067908104385,402.4381038696579
0.015243208651536147,448.7578655420739,398.58959730639515
0.015603496997597593,443.4041634960005,394.7839562221787
0.01596378534365904,438.1454886236918,391.0209010401888
0.016324073689720484,432.9812766477689,387.30012947078825
0.01668436203578193,427.91062049427427,383.6213173407846
0.017044650381843378,422.9323075127268,379.9841197963343
0.017404938727904825,418.04486435046897,376.3881727253939
0.017765227073966272,413.2466053140177,372.8330942627802
0.018125515420027716,408.5356805222718,369.3184862735116
0.018485803766089163,403.9101209667305,365.84393575254035
0.01884609211215061,399.3678785512696,362.4090161237382
0.019206380458212054,394.90686011671147,359.0132884600935
0.019566668804273497,390.52495523928917,355.6563026736848
0.019926957150334944,386.2200581619519,352.337598734049
0.02028724549639639,381.99008456244036,349.05670796661707
0.020647533842457835,377.8329840111389,345.81315446208515
0.021007822188519282,373.7467489751628,342.6064565989231
0.02136811053458073,369.7294211381418,339.43612865188106
0.021728398880642177,365.77909567577655,336.3016824360373
0.022088687226703624,361.89392399073904,333.20262892325485
0.022448975572765067,358.07211528802765,330.1384797675648
0.022809263918826515,354.311937272958,327.10874868669174
0.023169552264887962,350.61171617972246,324.11295266509387
0.023529840610949405,346.96983628558166,321.15061296483293
0.02389012895701085,343.3847390290916,318.221255949811
0.024250417303072296,339.8549218254296,315.3244137429822
0.024610705649133743,336.3789366538159,312.4596247433871
0.024970993995195187,332.95538847855585,309.62643403022753
0.025331282341256634,329.582933554531,306.8243936760027
0.02569157068731808,326.2602776590864,304.05306298225975
0.02605185903337953,322.9861742844821,301.3120086421488
0.026412147379440976,319.75942281808665,298.6008048261761
0.02677243572550242,316.5788667311459,295.91903318314286
0.027132724071563866,313.44339179132925,293.26628274836463
0.027493012417625314,310.35192430969124,290.6421497561465
0.027853300763686757,307.3034294294522,288.0462373623266
0.0282135891097482,304.29690946229124,285.47815529383837
0.028573877455809648,301.3314022773982,282.93751945328813
0.028934165801871095,298.4059797486797,280.42395151488626
0.02929445414793254,295.51974626539396,277.93707855148574
0.029654742493993986,292.6718373102419,275.47653272965147
0.030015030840055433,289.8614181063353,273.04195110063785
0.03037531918611688,287.08768233084066,270.632975501426
0.030735607532178327,284.3498508895433,268.2492525640576
0.03109589587823977,281.6471707443163,265.8904338165976
0.031456184224301215,278.97891378553925,263.5561758478487
0.03181647257036266,276.3443757440591,261.2461405023464
0.03217676091642411,273.742875141644,258.95999507262246
0.03253704926248556,271.17375228352245,256.6974124613817
0.032897337608547,268.63636829991066,254.45807129527128
0.03325762595460845,266.13010424404405,252.2416559820322
0.03361791430066989,263.6543602517681,250.04785671199696
0.033978202646731334,261.2085547628357,247.87636941164155
0.034338490992792785,258.79212379815715,245.72689566068834
0.034698779338854235,256.404520282151,243.59914258518629
0.03505906768491568,254.04521339662165,241.4928227378419
