r,J
-0.018651217144311488,129.23530085353892
-0.018402124882018214,127.72407212570542
-0.018153032619724944,126.2374197452064
-0.01790394035743167,124.77498337776758
-0.017654848095138398,123.33639049873518
-0.017405755832845125,121.92125883867926
-0.01715666357055185,120.52919871306099
-0.016907571308258578,119.15981519035488
-0.016658479045965305,117.81271006706186
-0.01640938678367203,116.48748363129097
-0.01616029452137876,115.18373620839938
-0.015911202259085485,113.90106949215956
-0.01566210999679221,112.63908767282089
-0.015413017734498938,111.39739837912074
-0.015163925472205667,110.17561345477587
-0.014914833209912395,108.9733495913143
-0.014665740947619122,107.79022883851803
-0.014416648685325849,106.62587901156553
-0.014167556423032576,105.47993401070953
-0.013918464160739302,104.35203406559856
-0.01366937189844603,103.24182591285125
-0.01342027963615276,102.14896291284454
-0.013171187373859486,101.07310511036071
-0.012922095111566213,100.01391924395183
-0.01267300284927294,98.97107871047301
-0.012423910586979666,97.94426349370818
-0.012174818324686393,96.93316006859477
-0.01192572606239312,95.93746129435023
-0.011676633800099848,94.95686631001367
-0.011427541537806576,93.99108044401126
-0.011178449275513303,93.03981514527555
-0.01092935701322003,92.10278793764515
-0.010680264750926757,91.17972239268211
-0.010431172488633483,90.27034810992247
-0.01018208022634021,89.37440068924415
-0.009932987964046937,88.49162167859674
-0.009683895701753665,87.6217584823972
-0.009434803439460394,86.764564221393
-0.00918571117716712,85.9197975429466
-0.008936618914873847,85.08722239010004
-0.008687526652580574,84.26660774666367
-0.0084384343902873,83.45772738211923
-0.008189342127994027,82.66035962284744
-0.007940249865700754,81.87428717423134
-0.0076911576034074825,81.09929701155018
-0.007442065341114209,80.33518034714375
-0.007192973078820937,79.58173266875345
-0.006943880816527664,78.83875383136322
-0.006694788554234391,78.10604817452042
-0.006445696291941118,77.38342463095621
-0.0061966040296478455,76.67069679163387
-0.005947511767354573,75.96768289750604
-0.0056984195050613,75.27420573864086
-0.0054493272427680265,74.59009245545846
-0.005200234980474754,73.91517425241258
-0.004951142718181482,73.249286049073
-0.004702050455888208,72.59226610483552
-0.004452958193594935,71.94395565953101
-0.004203865931301663,71.3041986319567
-0.00395477366900839,70.67284141171737
-0.003705681406715117,70.0497327676421
-0.003456589144421844,69.43472388016791
-0.0032074968821285714,68.82766848777094
-0.0029584046198352985,68.22842312129296
-0.0027093123575420257,67.63684738721535
-0.0024602200952487524,67.05280425341375
-0.002211127832955479,66.4761602897578
-0.001962035570662206,65.90678582126297
-0.0017129433083689326,65.34455496260846
-0.0014638510460756602,64.78934551817187
-0.0012147587837823878,64.24103874921688
-0.0009656665214891154,63.69951902716468
-0.0007165742591958429,63.16467340672821
-0.00046748199690257054,62.63639116319212
-0.00021838973460929813,62.11456334300487
3.070252768397428e-05,61.599082375581645
0.0002797947899772467,61.089841787063335
0.00052888705227052,60.586736044735545
0.0007779793145637932,60.08966054544925
0.0010270715768570665,59.59851174462763
0.0012761638391503398,59.11318740631928
0.001525256101443613,58.633586941146525
0.0017743483637368863,58.159611789413496
0.0020234406260301596,57.69116580207189
0.002272532888323433,57.228155573061315
0.0025216251506167053,56.770490682495016
0.0027707174129099777,56.31808382042407
0.00301980967520325,55.870850774223555
0.0032689019374965225,55.42871027745026
0.003517994199789795,54.99158373268852
0.0037670864620830673,54.55939483386593
0.00401617872437634,54.132069123486474
0.004265270986669612,53.709533526260586
0.004514363248962885,53.291715902235296
0.004763455511256159,52.87854465974931
0.005012547773549432,52.469948461809395
0.005261640035842705,52.06585604964786
0.0055107322981359785,51.6661961953822
0.005759824560429252,51.27089778311266
0.006008916822722525,50.87989000572164
0.006258009085015798,50.49310265421844
0.006507101347309071,50.110466468623144
0.006756193609602343,49.73191351471346
0.007005285871895616,49.35737754974993
0.007254378134188888,48.98679434247869
0.00750347039648216,48.62010191792328
0.007752562658775433,48.25724070508794
0.008001654921068704,47.89815357491683
0.008250747183361978,47.54278576579316
0.008499839445655251,47.191084703626444
0.008748931707948524,46.84299973233623
0.008998023970241797,46.49848177759976
0.00924711623253507,46.1574829715751
0.009496208494828344,45.819956268635295
0.009745300757121617,45.48585508187747
0.00999439301941489,45.155132967446946
0.010243485281708164,44.82774337888265
0.010492577544001437,44.5036395072516
0.010741669806294709,44.18277421541016
0.01099076206858798,43.865100066975046
0.011239854330881253,43.550569443162544
0.011488946593174527,43.23913473414807
0.011738038855467798,42.93074858648155
0.01198713111776107,42.62536418468758
0.012236223380054343,42.32293554363819
0.012485315642347616,42.02341778860021
0.01273440790464089,41.72676740187124
0.012983500166934163,41.43294241835591
0.013232592429227436,41.14190255694155
0.01348168469152071,40.85360927971233
0.013730776953813983,40.56802577648679
0.013979869216107256,40.285116877488896
0.01422896147840053,40.00484890181958
0.014478053740693803,39.72718945349449
0.014727146002987076,39.45210717992548
0.014976238265280349,39.17957150969464
0.015225330527573622,38.909552387217175
0.015474422789866894,38.64202002141263
0.015723515052160165,38.3769446638781
0.015972607314453435,38.114296429433246
0.01622169957674671,37.85404516850663
0.016470791839039982,37.5961603969249
0.016719884101333255,37.34061128455882
0.01696897636362653,37.08736670028031
0.0172180686259198,36.836395307084665
0.017467160888213075,36.58766569827289
0.017716253150506348,36.341146563446294
0.01796534541279962,36.09680687183065
0.018214437675092895,35.8546160601344
0.018463529937386168,35.61454421268573
0.018712622199679438,35.376562222865715
0.018961714461972708,35.140641926692716
0.01921080672426598,34.90675620163915
0.019459898986559254,34.67487902619599
0.019708991248852527,34.444985498186945
0.0199580835111458,34.21705181223776
0.020207175773439074,33.99105519902334
0.020456268035732347,33.766973830865126
0.02070536029802562,33.54478669987084
0.020954452560318894,33.32447347604975
0.021203544822612167,33.10601435365658
0.02145263708490544,32.889389894385076
0.021701729347198714,32.674580875928726
0.021950821609491987,32.461568153848916
0.02219991387178526,32.25033254366638
0.022449006134078534,32.04085472867557
0.022698098396371807,31.833115197260724
0.02294719065866508,31.62709421158628
0.023196282920958353,31.422771807576815
0.023445375183251627,31.22012782423951
0.023694467445544896,31.01914195874779
0.023943559707838166,30.81979384241125
0.02419265197013144,30.622063131777267
0.024441744232424713,30.425929608678313
0.024690836494717986,30.231373283040192
0.02493992875701126,30.038374492651037
0.025189021019304533,29.84691399477811
0.025438113281597806,29.656973045412144
0.02568720554389108,29.468533462923357
0.025936297806184352,29.281577673941076
0.026185390068477626,29.09608874025763
0.0264344823307709,28.91205036646329
0.02668357459306417,28.729446888825937
0.02693266685535744,28.548263246635273
0.027181759117650712,28.36848493784588
0.027430851379943985,28.190097961387192
0.02767994364223726,28.013088748965327
0.02792903590453053,27.837444089556314
0.028178128166823805,27.663151050064265
0.028427220429117078,27.490196895765475
0.02867631269141035,27.31856901415199
0.028925404953703625,27.148254845600025
0.029174497215996898,26.97924182390884
0.02942358947829017,26.811517329189527
0.029672681740583445,26.645068654857155
0.029921774002876718,26.479882989641954
0.03017086626516999,26.315947414647344
0.030419958527463264,26.1532489146182
0.030669050789756538,25.991774401810773
0.03091814305204981,25.83151075023888
0.031167235314343084,25.672444837652844
