,eps,G_up,G_down
0,0.01,78872.09292607852,74805.14274836396
1,0.014994994994994995,78898.04135805892,74817.520381212
2,0.019989989989989992,78924.1218610531,74829.94175437996
3,0.024984984984984984,78950.33527577302,74842.40709019058
4,0.029979979979979983,78976.68252401093,74854.9166322859
5,0.034974974974974975,79003.16454373075,74867.47062838174
6,0.03996996996996997,79029.78228109941,74880.06932814034
7,0.04496496496496497,79056.53668925828,74892.71298283909
8,0.049959959959959964,79083.42872812047,74905.40184531378
9,0.054954954954954956,79110.45936435691,74918.1361699527
10,0.059949949949949954,79137.6295714224,74930.91621270111
11,0.06494494494494495,79164.94032959185,74943.74223106891
12,0.06993993993993994,79192.39262599907,74956.61448413871
13,0.07493493493493493,79219.98745467646,74969.53323257418
14,0.07992992992992994,79247.72581659515,74982.49873862852
15,0.08492492492492493,79275.60871970537,74995.51126615306
16,0.08991991991991992,79303.63717897717,75008.57108060585
17,0.09491491491491491,79331.81221644094,75021.67844906019
18,0.0999099099099099,79360.13486122865,75034.83364021347
19,0.10490490490490491,79388.60614961473,75048.03692439571
20,0.1098998998998999,79417.22712505738,75061.28857357829
21,0.11489489489489489,79445.99883824016,75074.58886138286
22,0.1198898898898899,79474.92234711358,75087.93806309004
23,0.12488488488488489,79503.99871693683,75101.33645564833
24,0.1298798798798799,79533.22902031979,75114.78431768286
25,0.13487487487487487,79562.61433726529,75128.28192950446
26,0.13986986986986988,79592.1557552113,75141.82957311858
27,0.14486486486486488,79621.85436907357,75155.42753223421
28,0.1498598598598599,79651.71128128831,75169.07609227304
29,0.15485485485485487,79681.72760185503,75182.77554037841
30,0.15984984984984987,79711.90444837957,75196.52616542453
31,0.16484484484484485,79742.24294611739,75210.32825802546
32,0.16983983983983986,79772.74422801696,75224.18211054448
33,0.17483483483483486,79803.40943476337,75238.08801710322
34,0.17982982982982984,79834.23971482208,75252.04627359092
35,0.18482482482482485,79865.23622448299,75266.05717767382
36,0.18981981981981982,79896.40012790446,75280.12102880434
37,0.19481481481481483,79927.73259715771,75294.23812823057
38,0.19980980980980984,79959.23481227137,75308.40877900574
39,0.2048048048048048,79990.9079612762,75322.63328599757
40,0.20979979979979982,80022.75324024992,75336.91195589787
41,0.21479479479479482,80054.77185336238,75351.24509723201
42,0.2197897897897898,80086.96501292085,75365.63302036856
43,0.2247847847847848,80119.33393941539,75380.07603752884
44,0.2297797797797798,80151.87986156464,75394.57446279666
45,0.2347747747747748,80184.60401636166,75409.12861212806
46,0.2397697697697698,80217.50764911994,75423.73880336093
47,0.24476476476476478,80250.59201351972,75438.40535622495
48,0.24975975975975978,80283.85837165442,75453.12859235134
49,0.2547547547547548,80317.3079940773,75467.90883528275
50,0.25974974974974974,80350.94215984827,75482.74641048325
51,0.26474474474474474,80384.76215658104,75497.64164534817
52,0.26973973973973975,80418.76928049026,75512.59486921421
53,0.27473473473473475,80452.96483643915,75527.60641336955
54,0.27972972972972976,80487.35013798696,75542.67661106375
55,0.28472472472472476,80521.92650743708,75557.80579751814
56,0.28971971971971977,80556.69527588491,75572.99430993584
57,0.2947147147147147,80591.65778326629,75588.24248751199
58,0.2997097097097097,80626.81537840597,75603.55067144423
59,0.30470470470470473,80662.16941906635,75618.9192049428
60,0.30969969969969974,80697.72127199631,75634.34843324099
61,0.31469469469469474,80733.47231298052,75649.83870360564
62,0.3196896896896897,80769.4239268887,75665.39036534754
63,0.3246846846846847,80805.57750772526,75681.00376983196
64,0.3296796796796797,80841.93445867908,75696.67927048927
65,0.3346746746746747,80878.49619217355,75712.41722282545
66,0.3396696696696697,80915.26412991682,75728.21798443285
67,0.34466466466466467,80952.2397029523,75744.08191500089
68,0.34965965965965967,80989.4243517094,75760.00937632684
69,0.3546546546546547,81026.81952605445,75776.0007323266
70,0.3596496496496497,81064.42668534182,75792.0563490456
71,0.3646446446446447,81102.24729846545,75808.17659466971
72,0.36963963963963964,81140.28284391038,75824.36183953621
73,0.37463463463463464,81178.53480980468,75840.61245614485
74,0.37962962962962965,81217.00469397173,75856.92881916894
75,0.38462462462462466,81255.69400398231,75873.31130546641
76,0.38961961961961966,81294.60425720747,75889.76029409109
77,0.39461461461461467,81333.73698087125,75906.27616630388
78,0.3996096096096096,81373.09371210389,75922.85930558413
79,0.4046046046046046,81412.67599799522,75939.51009764099
80,0.40959959959959963,81452.48539564821,75956.22893042475
81,0.41459459459459463,81492.52347223292,75973.0161941384
82,0.41958958958958964,81532.79180504066,75989.87228124912
83,0.4245845845845846,81573.29198153838,76006.79758649989
84,0.4295795795795796,81614.02559942348,76023.79250692118
85,0.4345745745745746,81654.99426667855,76040.85744184259
86,0.4395695695695696,81696.19960162687,76057.99279290465
87,0.4445645645645646,81737.64323298774,76075.19896407072
88,0.4495595595595596,81779.32679993236,76092.47636163882
89,0.45455455455455457,81821.25195213995,76109.82539425364
90,0.4595495495495496,81863.42034985404,76127.24647291854
91,0.4645445445445446,81905.83366393922,76144.74001100769
92,0.4695395395395396,81948.4935759381,76162.30642427818
93,0.4745345345345346,81991.40177812851,76179.94613088232
94,0.47952952952952954,82034.55997358118,76197.65955137985
95,0.48452452452452455,82077.96987621754,76215.44710875042
96,0.48951951951951955,82121.63321086799,76233.30922840592
97,0.49451451451451456,82165.55171333038,76251.2463382031
98,0.49950950950950956,82209.72713042886,76269.25886845608
99,0.5045045045045045,82254.1612200731,76287.34725194903
100,0.5094994994994995,82298.8557513177,76305.51192394894
101,0.5144944944944946,82343.81250442208,76323.75332221836
102,0.5194894894894895,82389.03327091076,76342.07188702832
