model,tag,seed,window,source,dkkm,dkkm_method,lin,fair_lin,fair_method,mkt_est,ew,linrank_m,linlev_m,orig_drift,prov_lin,gap,fair_gap,fair_gap_pct_fair_lin
bgn_gam,g0235,0,360,E1 re-score,0.1751691825011893,rff_ens,0.1454979140426138,0.1748222333048598,linrank_m,0.1737668636032375,0.1737668636032375,0.1748222333048598,0.1637256648753221,8.049116928532385e-16,bgn_gam_estimators_g0235_s000_w360_summary@fef5802+dirty,0.029671268458575484,0.0003469491963294935,0.19845827945949757
bgn_gam,g0235,1,360,E1 re-score,0.1577081770782533,rff_ens,0.1373292277466362,0.1551836966016397,linrank_m,0.1421127344466325,0.1421127344466325,0.1551836966016397,0.075696828939608,4.996003610813204e-16,bgn_gam_estimators_g0235_s001_w360_summary@fef5802+dirty,0.020378949331617102,0.0025244804766136053,1.6267691335475838
bgn_gam,g0235,2,360,E1 re-score,0.0871275215987503,rff_lev_ens,0.0643662957875736,0.0871445559729797,mkt_est,0.0871445559729797,0.0871445559729797,0.0871376021561028,0.0870842743307953,5.967448757360216e-16,bgn_gam_estimators_g0235_s002_w360_summary@fef5802+dirty,0.022761225811176705,-1.7034374229396576e-05,-0.01954726148891998
bgn_gam,g0235,3,360,E1 re-score,0.0800939914977545,rff_ens,0.0728659085383192,0.0785606648969403,linrank_m,0.0781942175907669,0.0781942175907669,0.0785606648969403,0.0733377715409759,4.9057979900624105e-15,bgn_gam_estimators_g0235_s003_w360_summary@fef5802+dirty,0.007228082959435292,0.0015333266008141916,1.9517739607037237
bgn_gam,g0235,4,360,E1 re-score,0.0457530516471708,rff_lev_ens,0.0281128757242953,0.0457935295805625,mkt_est,0.0457935295805625,0.0457935295805625,0.0457885050958134,0.045772925861401,1.4016565685892601e-15,bgn_gam_estimators_g0235_s004_w360_summary@fef5802+dirty,0.0176401759228755,-4.0477933391701304e-05,-0.08839225489376243
bgn_gam,g0235,5,360,E1 re-score,0.08718382612061,rff_lev_ens,0.0584195095134052,0.0872082015072446,mkt_est,0.0872082015072446,0.0872082015072446,0.0872029255695237,0.0858706812486391,9.020562075079397e-16,bgn_gam_estimators_g0235_s005_w360_summary@fef5802+dirty,0.0287643166072048,-2.4375386634606366e-05,-0.027950796156003103
bgn_gam,g0235,6,360,E1 re-score,0.1284413016148702,rff_lev_ens,0.1036871506073914,0.1280475795361507,mkt_est,0.1280475795361507,0.1280475795361507,0.1280464706198887,0.1160050139284698,9.020562075079397e-16,bgn_gam_estimators_g0235_s006_w360_summary@fef5802+dirty,0.024754151007478783,0.0003937220787194884,0.3074810786316596
bgn_gam,g0235,7,360,E1 re-score,0.1217441232280112,rff_lev_ens,0.0882234864772342,0.1215056962382269,mkt_est,0.1215056962382269,0.1215056962382269,0.1215012988285881,0.0685129565136267,3.899658373995862e-15,bgn_gam_estimators_g0235_s007_w360_summary@fef5802+dirty,0.033520636750777,0.0002384269897842961,0.1962270059477957
bgn_gam,g0235,8,360,E1 re-score,0.0962055442953647,rff_lev_ens,0.0665805246268209,0.0963886688795543,mkt_est,0.0963886688795543,0.0963886688795543,0.0963757728807327,0.0963649065643447,1.1032841307212493e-15,bgn_gam_estimators_g0235_s008_w360_summary@fef5802+dirty,0.029625019668543792,-0.0001831245841896062,-0.18998559303525156
bgn_gam,g0235,9,360,E1 re-score,0.1016677652166681,rff_ens,0.0894944133998765,0.1006079418374522,linrank_m,0.1005762433881488,0.1005762433881488,0.1006079418374522,0.1004912422222302,9.71445146547012e-17,bgn_gam_estimators_g0235_s009_w360_summary@fef5802+dirty,0.012173351816791592,0.0010598233792158962,1.0534192031561544
